Individual,Age,Plant height (cm),Stem diameter at base (cm),Total fresh mass (g),Total dry mass (g),Fresh mass of main stem (g),Dry mass of main stem (g),Fresh mass of branches (g),Dry mass of branches (g),Total leaf fresh mass (g),Total leaf dry mass (g),Total leaf area(cm2)
1,1,7.3,0.217,0.82,0.07,0.34,0.06,0,0,0.48,,13.71428571
2,1,8.1,0.238,1.53,0.11,0.47,0.1,0,0,1.06,,30.28571429
3,1,7.6,0.21,1.53,0.09,0.43,0.08,0,0,1.1,,31.42857143
4,1,7.5,0.211,1.93,0.1,0.43,0.09,0,0,1.5,,42.85714286
5,2,18.5,0.441,9.77,3.58,2.75,0.88,0,0,7.02,2.7,200.5714286
6,2,16,0.46,7.38,2.53,2.46,0.78,0,0,4.92,1.75,140.5714286
7,2,16.6,0.413,6.32,2.29,2.09,0.75,0,0,4.23,1.54,120.8571429
8,2,17.1,0.359,6.57,2.34,1.63,0.54,0,0,4.94,1.8,141.1428571
9,3,26.1,0.829,35.6,13.36,9.46,4.08,2.8,1.31,17.95,7.97,512.8571429
10,3,24.9,0.863,42.38,16.17,10.46,4.6,2.69,1.34,23.29,10.23,665.4285714
11,3,25.5,0.861,46.55,16.98,11.02,4.59,2.28,1.08,27.58,11.31,788
12,3,23.5,0.872,36.03,12.36,9.31,3.54,2.14,0.92,20.12,7.9,574.8571429
13,5,60.4,2.32,368.72,125.19,116.93,42.06,58.18,25.62,125.93,57.51,3598
14,5,72.6,2.601,708.3222237,236.1922237,210.74,72.69222365,109.05,45.79,270.05,117.71,7715.714286
15,5,57.2,2.885,517.8248872,162.5548872,165.44,52.66488719,82.28,32.06,185.38,77.83,5296.571429
16,5,67.6,2.883,608.4194408,194.8894408,200.26,64.04944084,71.24,29.4,243.47,101.44,6956.285714
17,6,82.9,3.013,1158.136514,411.3465141,304.47,115.0565141,181.95,82.45,474.21,213.84,13548.85714
18,6,105.4,2.72,1067.6,,363.3,,215.1,,489.2,,13977.14286
19,6,121.4,3.543,2241.5,,622.6,,505.3,,1113.6,,31817.14286
20,6,125.4,3.393,2043.1,,649.8,,419,,974.3,,27837.14286
