"lookupVariable","lookupValue","newVariable","newValue","source"
NA,NA,"species","Pinus sylvestris var. mongolica","from paper[D Barneche]"
NA,NA,"family","Pinaceae","DBarneche[from_author_reply]"
NA,NA,"growingCondition","PM","from paper[D Barneche]"
NA,NA,"location","Zhanggutai, Zhangwu County, Liaoning Province, China","from paper[D Barneche]"
NA,NA,"pft","EG","from paper[D Barneche]"
NA,NA,"latitude","42.72","from paper[D Barneche]"
NA,NA,"longitude","122.3667","from paper[D Barneche]"
NA,NA,"map","505.9","from paper[D Barneche]"
NA,NA,"mat","6","from paper[D Barneche]"
NA,NA,"status","0","DBarneche[from_author_reply]"
NA,NA,"vegetation","TempF","RAD fixed - no Sav at this latitude"
