"dataset","location","latitude","longitude","vegetation","species","family","pft","age","a.lf","h.t","d.bh","m.lf","m.st","m.so","m.br","growingCondition"
"Watanabe1985","Japan-Tanashi Experimental Field, Tokyo University-II-10",35.739,139.538,"TempF","Quercus serrata","Fagaceae","DA",4,0.387,2.7,0.011,0.017,0.172,0.231,0.042,"PM"
"Watanabe1985","Japan-Tanashi Experimental Field, Tokyo University-II-10",35.739,139.538,"TempF","Quercus serrata","Fagaceae","DA",4,1.81,3.5,0.017,0.102,0.516,0.721,0.103,"PM"
"Watanabe1985","Japan-Tanashi Experimental Field, Tokyo University-II-10",35.739,139.538,"TempF","Quercus serrata","Fagaceae","DA",4,1.15,3,0.016,0.084,0.513,0.783,0.186,"PM"
"Watanabe1985","Japan-Tanashi Experimental Field, Tokyo University-II-10",35.739,139.538,"TempF","Quercus serrata","Fagaceae","DA",4,2.89,3.8,0.023,0.179,0.731,1.171,0.261,"PM"
"Watanabe1985","Japan-Tanashi Experimental Field, Tokyo University-II-10",35.739,139.538,"TempF","Quercus serrata","Fagaceae","DA",4,4.29,4.2,0.034,0.263,1.53,2.097,0.304,"PM"
"Watanabe1985","Japan-Tanashi Experimental Field, Tokyo University-II-10",35.739,139.538,"TempF","Quercus serrata","Fagaceae","DA",4,6.93,4.9,0.037,0.521,2.22,3.342,0.601,"PM"
"Watanabe1985","Japan-Tanashi Experimental Field, Tokyo University-II-10",35.739,139.538,"TempF","Quercus serrata","Fagaceae","DA",4,11.21,5,0.042,0.699,2.74,4.329,0.89,"PM"
"Watanabe1985","Japan-Tanashi Experimental Field, Tokyo University-II-10",35.739,139.538,"TempF","Quercus serrata","Fagaceae","DA",4,9.65,4.5,0.04,0.663,2.45,4.163,1.05,"PM"
"Watanabe1985","Japan-Tanashi Experimental Field, Tokyo University-II-10",35.739,139.538,"TempF","Quercus serrata","Fagaceae","DA",4,13.5,5,0.046,0.805,3.45,5.835,1.58,"PM"
"Watanabe1985","Japan-Tanashi Experimental Field, Tokyo University-II-10",35.739,139.538,"TempF","Quercus serrata","Fagaceae","DA",4,13.3,5.2,0.052,1.05,5.02,8.83,2.76,"PM"
"Watanabe1985","Japan-Tanashi Experimental Field, Tokyo University-II-10",35.739,139.538,"TempF","Quercus serrata","Fagaceae","DA",4,11.95,4.6,0.056,0.872,3.74,6.212,1.6,"PM"
"Watanabe1985","Japan-Tanashi Experimental Field, Tokyo University-II-10",35.739,139.538,"TempF","Quercus serrata","Fagaceae","DA",4,27.59,5.6,0.064,1.67,7.8,13.47,4,"PM"
