"Species_name","Family","site","age","height","leaf_weight","stem_weight","total_weight","dia","stem.area","lma","leaf_area"
"Banksia ericifolia","Proteaceae","Basin1981",32,2380,156194.1,738236.4,894430.5,44.03,1522.60500234718,0.244333333333333,639266.439290587
"Banksia ericifolia","Proteaceae","Basin1981",32,2250,295278,1108649.3,1403927.3,49.73,1942.346913608,0.244333333333333,1208504.77489768
"Banksia ericifolia","Proteaceae","Basin1981",32,2090,102546.8,393178.2,495725,25.29,502.32817747821,0.244333333333333,419700.409276944
"Banksia ericifolia","Proteaceae","Basin1981",32,1735,48330.1,251609.2,299939.3,28.7,646.924613208844,0.244333333333333,197803.956343793
"Banksia ericifolia","Proteaceae","Basin1981",32,2450,445844.8,1855852.3,2301697.1,53.0266666666667,2208.40405829733,0.244333333333333,1824739.97271487
"Banksia ericifolia","Proteaceae","Basin1981",32,1890,82708.7,348083.9,430792.6,34.7266666666667,947.144143271655,0.244333333333333,338507.639836289
"Banksia ericifolia","Proteaceae","Basin1981",32,2790,595277.9,2081500,2676777.9,60.8733333333333,2910.34214766074,0.244333333333333,2436335.19781719
"Banksia ericifolia","Proteaceae","Basin2005",7,1220,191878.4,276695.9,468574.3,27.62,599.152298681296,0.213666666666667,898026.833073323
"Banksia ericifolia","Proteaceae","Basin2005",7,810,36037.4,44251.3,80288.7,14.64,168.33407420171,0.213666666666667,168661.778471139
"Banksia ericifolia","Proteaceae","Basin2005",7,935,135228.8,113945.6,249174.4,19.6133333333333,302.129199517173,0.213666666666667,632896.099843994
"Banksia ericifolia","Proteaceae","Basin2005",7,880,95144.1,88172.2,183316.3,13.8733333333333,151.165095816916,0.213666666666667,445292.199687988
"Banksia ericifolia","Proteaceae","Basin2005",7,653,97106.3,85380.3,182486.6,21.26,354.990230918421,0.213666666666667,454475.663026521
"Banksia ericifolia","Proteaceae","Basin2005",7,1120,194658.6,228600.5,423259.1,28.43,634.809767998622,0.213666666666667,911038.689547582
"Banksia ericifolia","Proteaceae","Basin2005",7,1050,106403.1,104422.7,210825.8,22.2466666666667,388.704686266025,0.213666666666667,497986.427457098
"Banksia ericifolia","Proteaceae","Basin2007",5,565,7830.3,7412.1,15242.4,7.09,39.4804734174793,0.201,38956.7164179104
"Banksia ericifolia","Proteaceae","Basin2007",5,660,8793.5,7659,16452.5,6.19,30.093394568553,0.201,43748.7562189055
"Banksia ericifolia","Proteaceae","Basin2007",5,470,3949.8,3816.1,7765.9,4.76333333333333,17.8201694553588,0.201,19650.7462686567
"Banksia ericifolia","Proteaceae","Basin2007",5,510,8615.1,7261.6,15876.7,7.09,39.4804734174793,0.201,42861.1940298507
"Banksia ericifolia","Proteaceae","Basin2007",5,530,13090.6,13614.7,26705.3,8.93333333333333,62.6782640976204,0.201,65127.3631840796
"Banksia ericifolia","Proteaceae","Basin2007",5,540,11675.1,13247,24922.1,8.2,52.8101725068444,0.201,58085.0746268657
"Banksia ericifolia","Proteaceae","Basin2007",5,535,8647.3,6752.5,15399.8,6.44666666666667,32.6407636983625,0.201,43021.3930348259
"Banksia ericifolia","Proteaceae","Waratah2003",9,980,91530.9,95659.9,187190.8,22.94,413.310756939661,0.253666666666667,360831.406044678
"Banksia ericifolia","Proteaceae","Waratah2003",9,670,21273.5,24800.8,46074.3,11.7733333333333,108.865121532657,0.253666666666667,83863.9947437582
"Banksia ericifolia","Proteaceae","Waratah2003",9,1230,106679.7,125452.9,232132.6,20.6766666666667,335.776992013997,0.253666666666667,420550.722733246
"Banksia ericifolia","Proteaceae","Waratah2003",9,1070,117637.5,155677.2,273314.7,20.7933333333333,339.576879228208,0.253666666666667,463748.357424442
"Banksia ericifolia","Proteaceae","Waratah2003",9,1080,236638.7,326844.7,563483.4,35.6433333333333,997.806906300077,0.253666666666667,932872.667542707
"Banksia ericifolia","Proteaceae","Waratah2003",9,990,99770,151900,251670,23.87,447.501730806292,0.253666666666667,393311.432325887
"Banksia ericifolia","Proteaceae","Waratah2003",9,1100,128027.5,172722.1,300749.6,24.0633333333333,454.780102852958,0.253666666666667,504707.621550591
"Banksia ericifolia","Proteaceae","Waratah2011",1.3,203,689.1,336.8,1025.9,2.82,6.24580035460187,0.240666666666667,2863.29639889197
"Banksia ericifolia","Proteaceae","Waratah2011",1.3,285,1490.8,831.2,2322,3.12666666666667,7.67808735195849,0.240666666666667,6194.45983379501
"Banksia ericifolia","Proteaceae","Waratah2011",1.3,128,354.8,228.3,583.1,2.40333333333333,4.53646851842992,0.240666666666667,1474.23822714681
"Banksia ericifolia","Proteaceae","Waratah2011",1.3,190,998.3,364.7,1363,2.44666666666667,4.70153303243729,0.240666666666667,4148.06094182825
"Banksia ericifolia","Proteaceae","Waratah2011",1.3,325,2214.5,999.2,3213.7,3.84333333333333,11.6012820778226,0.240666666666667,9201.52354570637
"Banksia ericifolia","Proteaceae","Waratah2011",1.3,375,3048.1,1349.2,4397.3,4.45333333333333,15.5761560028384,0.240666666666667,12665.2354570637
"Banksia ericifolia","Proteaceae","Waratah2011",1.3,217,680.6,213.8,894.4,2.19,3.7668481314705,0.240666666666667,2827.97783933518
"Boronia ledifolia","Rutaceae","Basin2005",7,580,396.8,2576,2972.8,4.73666666666667,17.6212019206314,0.196,2024.48979591837
"Boronia ledifolia","Rutaceae","Basin2005",7,430,336.2,1227.1,1563.3,3.42,9.18633107836191,0.196,1715.30612244898
"Boronia ledifolia","Rutaceae","Basin2005",7,365,325.2,1246.8,1572,3.41333333333333,9.15055182869603,0.196,1659.18367346939
"Boronia ledifolia","Rutaceae","Basin2005",7,520,849.5,4219.9,5069.4,4.71333333333333,17.4480216256023,0.196,4334.18367346939
"Boronia ledifolia","Rutaceae","Basin2005",7,530,1091.3,7317.2,8408.5,5.25666666666667,21.702549656665,0.196,5567.85714285714
"Boronia ledifolia","Rutaceae","Basin2005",7,680,242.3,7172,7414.3,6.37666666666667,31.9357641269582,0.196,1236.22448979592
"Boronia ledifolia","Rutaceae","Basin2005",7,672,165,2041.6,2206.6,4,12.5663706143592,0.196,841.836734693878
"Boronia ledifolia","Rutaceae","Basin2007",5,370,837.1,1265.9,2103,2.84666666666667,6.36448274373748,0.183,4574.31693989071
"Boronia ledifolia","Rutaceae","Basin2007",5,375,106.6,404.2,510.8,1.59,1.98556509688509,0.183,582.513661202186
"Boronia ledifolia","Rutaceae","Basin2007",5,330,484.4,771.2,1255.6,2.57333333333333,5.20094154460294,0.183,2646.99453551913
"Boronia ledifolia","Rutaceae","Basin2007",5,494,371.2,1300.9,1672.1,2.45333333333333,4.7271893724416,0.183,2028.41530054645
"Boronia ledifolia","Rutaceae","Basin2007",5,470,175,994.2,1169.2,2.16666666666667,3.68700804483802,0.183,956.284153005465
"Boronia ledifolia","Rutaceae","Basin2007",5,395,633.7,993.8,1627.5,2.69666666666667,5.7114241708725,0.183,3462.84153005465
"Boronia ledifolia","Rutaceae","Basin2007",5,355,348.5,96.7,445.2,1.35333333333333,1.43846546290869,0.183,1904.37158469945
"Boronia ledifolia","Rutaceae","Waratah2003",9,460,179.7,872.9,1052.6,2.30333333333333,4.16680778285752,0.2075,866.024096385542
"Boronia ledifolia","Rutaceae","Waratah2003",9,580,157,1420.5,1577.5,2.76,5.9828490494964,0.2075,756.626506024097
"Boronia ledifolia","Rutaceae","Waratah2003",9,580,428.7,2861.5,3290.2,3.66666666666667,10.5592419745657,0.2075,2066.02409638554
"Boronia ledifolia","Rutaceae","Waratah2003",9,550,385.4,1675.2,2060.6,3.41,9.13268838380187,0.2075,1857.34939759036
"Boronia ledifolia","Rutaceae","Waratah2003",9,690,405.9,3458,3863.9,2.88,6.51440652648379,0.2075,1956.14457831325
"Boronia ledifolia","Rutaceae","Waratah2003",9,770,510.2,2830.9,3341.1,3.55333333333333,9.91657683739634,0.2075,2458.79518072289
"Boronia ledifolia","Rutaceae","Waratah2003",9,590,223.8,3218,3441.8,3.68666666666667,10.6747478644627,0.2075,1078.55421686747
"Boronia ledifolia","Rutaceae","Waratah2011",1.3,295,788.9,364.7,1153.6,1.86666666666667,2.73667626712711,0.181,4358.5635359116
"Boronia ledifolia","Rutaceae","Waratah2011",1.3,495,1154.5,924,2078.5,2.89666666666667,6.59002291632645,0.181,6378.45303867403
"Boronia ledifolia","Rutaceae","Waratah2011",1.3,305,1615.2,694.7,2309.9,2.60666666666667,5.3365536274829,0.181,8923.75690607735
"Boronia ledifolia","Rutaceae","Waratah2011",1.3,240,2083.5,1197,3280.5,3.53333333333333,9.80525973770414,0.181,11511.0497237569
"Boronia ledifolia","Rutaceae","Waratah2011",1.3,390,1223.8,867.1,2090.9,2.98666666666667,7.0058912438454,0.181,6761.32596685083
"Boronia ledifolia","Rutaceae","Waratah2011",1.3,682,5035.2,5248.6,10283.8,4.64,16.9093082986817,0.181,27818.7845303867
"Boronia ledifolia","Rutaceae","Waratah2011",1.3,308,886,411.9,1297.9,2.49333333333333,4.88259348903918,0.181,4895.02762430939
"Boronia ledifolia","Rutaceae","Waratah2011",1.3,340,669.3,310,979.3,1.88,2.77591126871194,0.181,3697.79005524862
"Boronia ledifolia","Rutaceae","Waratah2011",1.3,448,3602.2,2920.3,6522.5,4.88,18.7037860224122,0.181,19901.6574585635
"Boronia ledifolia","Rutaceae","Waratah2011",1.3,133,276.3,134.1,410.4,1.59333333333333,1.99389904406336,0.181,1526.51933701658
"Boronia ledifolia","Rutaceae","Waratah2011",1.3,550,983.3,1074.6,2057.9,2.94333333333333,6.80407009579103,0.181,5432.59668508287
"Conospermum ericifolium","Proteaceae","Basin2005",7,620,1501.3,3546.1,5047.4,5.08,20.2682991638999,0.223,6732.28699551569
"Conospermum ericifolium","Proteaceae","Basin2005",7,375,674,1112.9,1786.9,3.25,8.29576810088555,0.223,3022.42152466368
"Conospermum ericifolium","Proteaceae","Basin2005",7,470,1032,1679.2,2711.2,4.19,13.7885286964219,0.223,4627.80269058296
"Conospermum ericifolium","Proteaceae","Basin2007",5,303,603.1,602.1,1205.2,2.64,5.47391103961486,0.244333333333333,2468.34924965894
"Conospermum ericifolium","Proteaceae","Basin2007",5,336,629,638,1267,2.41,4.56167107282872,0.244333333333333,2574.3519781719
"Conospermum ericifolium","Proteaceae","Basin2007",5,410,582.4,888.5,1470.9,3.38,8.97270277791781,0.244333333333333,2383.62892223738
"Conospermum ericifolium","Proteaceae","Basin2007",5,240,490.2,422.3,912.5,2.78666666666667,6.09901816450914,0.244333333333333,2006.275579809
"Conospermum ericifolium","Proteaceae","Basin2007",5,350,539.6,683.8,1223.4,2.98333333333333,6.99026182039379,0.244333333333333,2208.45839017735
"Conospermum ericifolium","Proteaceae","Basin2007",5,284,380.6,459.3,839.9,2.35333333333333,4.34967465523523,0.244333333333333,1557.70804911323
"Conospermum ericifolium","Proteaceae","Basin2007",5,345,796.9,794.5,1591.4,3.48,9.51148591800846,0.244333333333333,3261.52796725784
"Conospermum ericifolium","Proteaceae","Waratah2003",9,970,933.8,7633.2,8567,5.7,25.5175863287831,0.291333333333333,3205.26315789474
"Conospermum ericifolium","Proteaceae","Waratah2003",9,990,1466.8,10370.7,11837.5,6.44333333333333,32.6070177572752,0.291333333333333,5034.78260869565
"Conospermum ericifolium","Proteaceae","Waratah2003",9,585,313.7,2514.3,2828,4.38666666666667,15.1132946852095,0.291333333333333,1076.77345537757
"Conospermum ericifolium","Proteaceae","Waratah2003",9,1000,1094.1,12772.9,13867,6.62,34.4196032719951,0.291333333333333,3755.49199084668
"Conospermum ericifolium","Proteaceae","Waratah2003",9,940,1385.4,9962.7,11348.1,5.92,27.5253781936923,0.291333333333333,4755.37757437071
"Conospermum ericifolium","Proteaceae","Waratah2003",9,775,1278,6069,7347,5.80666666666667,26.4815665812446,0.291333333333333,4386.72768878719
"Epacris microphylla","Ericaceae","Basin1981",32,830,1753.9,5364.2,7118.1,3.68,10.6361760879936,0.136333333333333,12864.7921760391
"Epacris microphylla","Ericaceae","Basin1981",32,1300,1681.9,7948.2,9630.1,4.66,17.0553923570736,0.136333333333333,12336.6748166259
"Epacris microphylla","Ericaceae","Basin1981",32,1370,2118.5,9989.6,12108.1,6.32,31.3706876016862,0.136333333333333,15539.119804401
"Epacris microphylla","Ericaceae","Basin1981",32,860,592.8,4622.7,5215.5,3.74,10.9858353503381,0.136333333333333,4348.1662591687
"Epacris microphylla","Ericaceae","Basin1981",32,1190,679.7,7892.4,8572.1,4.96,19.3220514566387,0.136333333333333,4985.57457212714
"Epacris microphylla","Ericaceae","Basin1981",32,1080,1523.8,11127.5,12651.3,4.65,16.9822717880613,0.136333333333333,11177.0171149144
"Epacris microphylla","Ericaceae","Basin1981",32,615,337,3032.6,3369.6,3.36333333333333,8.8844327509982,0.136333333333333,2471.8826405868
"Epacris microphylla","Ericaceae","Basin2005",7,245,136.6,158.7,295.3,1.33666666666667,1.4032534452497,0.132,1034.84848484848
"Epacris microphylla","Ericaceae","Basin2005",7,260,137.5,148.9,286.4,1.35666666666667,1.44556022631804,0.132,1041.66666666667
"Epacris microphylla","Ericaceae","Basin2005",7,490,378.4,883.9,1262.3,2.18333333333333,3.74394941168434,0.132,2866.66666666667
"Epacris microphylla","Ericaceae","Basin2005",7,460,296.3,712.7,1009,2.13666666666667,3.58561314194341,0.132,2244.69696969697
"Epacris microphylla","Ericaceae","Basin2005",7,493,416.3,784.7,1201,2.10666666666667,3.48563195574291,0.132,3153.78787878788
"Epacris microphylla","Ericaceae","Basin2005",7,410,449.8,1153.8,1603.6,2.46666666666667,4.77871149196047,0.132,3407.57575757576
"Epacris microphylla","Ericaceae","Basin2005",7,400,849.5,2211.4,3060.9,3.36,8.86683110549183,0.132,6435.60606060606
"Epacris microphylla","Ericaceae","Basin2007",5,225,286.3,347,633.3,2.36333333333333,4.38671926860881,0.124,2308.87096774194
"Epacris microphylla","Ericaceae","Basin2007",5,235,337,347,684,1.81,2.57304292310638,0.124,2717.74193548387
"Epacris microphylla","Ericaceae","Basin2007",5,295,446.5,600.9,1047.4,2.09,3.43069771753639,0.124,3600.8064516129
"Epacris microphylla","Ericaceae","Basin2007",5,228,272.4,291.6,564,1.86333333333333,2.7269111499622,0.124,2196.77419354839
"Epacris microphylla","Ericaceae","Basin2007",5,230,227.3,227.2,454.5,1.68666666666667,2.2343356018181,0.124,1833.06451612903
"Epacris microphylla","Ericaceae","Basin2007",5,235,229.9,305.5,535.4,1.81666666666667,2.59203210536808,0.124,1854.03225806452
"Epacris microphylla","Ericaceae","Basin2007",5,241,1189.4,248.6,1438,1.74333333333333,2.38699082484378,0.124,9591.93548387097
"Epacris microphylla","Ericaceae","Waratah2003",9,645,781.2,2809.9,3591.1,3.72333333333333,10.8881405454578,0.143666666666667,5437.58700696056
"Epacris microphylla","Ericaceae","Waratah2003",9,382,150.9,958.3,1109.2,3.1,7.54767635024948,0.143666666666667,1050.34802784223
"Epacris microphylla","Ericaceae","Waratah2003",9,745,1146.8,4640.1,5786.9,4.95333333333333,19.2701453646844,0.143666666666667,7982.36658932715
"Epacris microphylla","Ericaceae","Waratah2003",9,565,2038.8,5250.4,7289.2,4.98333333333333,19.5042725571931,0.143666666666667,14191.1832946636
"Epacris microphylla","Ericaceae","Waratah2003",9,620,838,3011.6,3849.6,3.66666666666667,10.5592419745657,0.143666666666667,5832.94663573086
