"var_in","method","unit_in","var_out","notes"
"location",NA,NA,"location",NA
"latitude",NA,"deg","latitude",NA
"longitude",NA,"deg","longitude",NA
"vegetation",NA,NA,"vegetation",NA
"map",NA,"mm","map",NA
"mat",NA,"deg","mat",NA
"grouping",NA,NA,"grouping","see dataNew"
"species",NA,NA,"species",NA
"family",NA,NA,"family",NA
"pft",NA,NA,"pft",NA
"age","?","yr","age",NA
"h.t","?","m","h.t",NA
"d.bh","d3","m","d.bh",NA
"m.lf","m4,x1,k4","kg","m.lf",NA
"m.st","m4","kg","m.st",NA
"m.so","m4","kg","m.so",NA
"m.br","m4","kg","m.br",NA
"m.rt","m4","kg","m.rt",NA
"m.to","m4","kg","m.to",NA
"growingCondition",NA,NA,"growingCondition",NA
