lookupVariable,lookupValue,newVariable,newValue,source
,,vegetation,TempF,from paper[R Williams]
,,growingCondition,FW,from paper[R Williams]
,,pft,EA,from paper[R Williams]
,,family,Myrtaceae,from paper[R Williams]
species,Erythrophleum chlorstachys,family,Fabaceae,D Falster[via R Williams]
species,Terminalia ferdinandiana,family,Combretaceae,D Falster[via R Williams]
location,humptydoo,latitude,-12.5,DBarneche[from_paper]
location,humptydoo,longitude,131.3,DBarneche[from_paper]
location,humptydoo,location,Humpty Doo,DBarneche[from_paper]
location,Kiauroo,latitude,-23.08,DBarneche[from_paper]
location,Kiauroo,longitude,149.33,DBarneche[from_paper]
location,Summerdell,latitude,-23.75,DBarneche[from_paper]
location,Summerdell,longitude,146,DBarneche[from_paper]
location,mitchel,latitude,-23.1,DBarneche[from_paper]
location,mitchel,longitude,147,DBarneche[from_paper]
location,mitchel,location,Mitchel,DBarneche[from_paper]
location,KDPI,latitude,-14.5,DBarneche[from_paper]
location,KDPI,longitude,132.4,DBarneche[from_paper]
location,KDPI,location,Katherine Research Station,DBarneche[from_paper]
location,Katherine,latitude,-14.7,DBarneche[from_paper]
location,Katherine,longitude,132.7,DBarneche[from_paper]
location,KidmanSprings,latitude,-16.1,DBarneche[from_paper]
location,KidmanSprings,longitude,131.9,DBarneche[from_paper]
location,KidmanSprings,location,Kidman Springs,DBarneche[from_paper]
location,Manbulloo,latitude,-14.6,DBarneche[from_paper]
location,Manbulloo,longitude,132.2,DBarneche[from_paper]
location,OV,latitude,-30.92,DBarneche[from_paper]
location,OV,longitude,146.5,DBarneche[from_paper]
location,OV,location,Oakvale,DBarneche[from_paper]
location,GT,latitude,-23.17,DBarneche[from_paper]
location,GT,longitude,150.56,DBarneche[from_paper]
location,GT,location,Rocky,DBarneche[from_paper]
location,HC,latitude,-23.1,DBarneche[from_paper]
location,HC,longitude,147,DBarneche[from_paper]
location,HC,location,Mit,DBarneche[from_paper]
location,Humpty Doo,vegetation,Sav,from_paper
location,Katherine Research Station,vegetation,Sav,from_paper
location,Katherine,vegetation,Sav,from_paper
location,Manbulloo,vegetation,Sav,from_paper
location,Kidman Springs,vegetation,Sav,from_paper
location,Kiauroo,vegetation,Wo,from_paper
location,Mitchel,vegetation,Wo,from_paper
location,Mit,vegetation,Wo,from_paper
location,Rocky,vegetation,Wo,from_paper
location,Summerdell,vegetation,Wo,from_paper
location,Oakvale,vegetation,Wo,from_paper
,,h.bh,1.3,default
