Site,Tree No,Log products,Species,DBH (cm),Tree length (m),Stump height (cm),Stump diameter (cm)
Mogo SF,319,NO,DEAD,14.2,4.3,,15.6
Mogo SF,146,NO,DEAD,28,8,50,30.8
Mogo SF,320,NO,IBK,10.7,7.7,,11.8
Mogo SF,263,NO,IBK,11.5,10.5,20,12.7
Mogo SF,240,NO,IBK,12.1,4.6,18,13.3
Mogo SF,333,NO,IBK,12.5,8.7,28,13.8
Mogo SF,353,NO,IBK,12.5,9.2,31,13.8
Mogo SF,294,NO,IBK,14.3,11.3,25,15.7
Mogo SF,288,NO,IBK,16.1,9,33,17.7
Mogo SF,312,NO,IBK,18.2,7.9,20,20
Mogo SF,299,NO,IBK,21.2,11.8,26,23.3
Mogo SF,218,NO,IBK,21.5,14.4,36,23.7
Mogo SF,290,NO,IBK,21.5,15.3,30,23.7
Mogo SF,239,NO,IBK,22.2,12.6,19,24.4
Mogo SF,256,NO,IBK,22.5,12.6,30,24.8
Mogo SF,182,NO,IBK,25,13.1,31,27.5
Mogo SF,235,NO,IBK,27.2,12.7,40,29.9
Mogo SF,170,NO,IBK,27.3,10.6,41,30
Mogo SF,238,NO,IBK,28.8,11.8,46,31.7
Mogo SF,310,NO,IBK,31.3,13.3,27,34.4
Mogo SF,250,YES,IBK,33.7,15.5,40,37.1
Mogo SF,311,YES,IBK,33.7,19.1,40,37.1
Mogo SF,301,NO,IBK,33.9,16.5,37,37.3
Mogo SF,184,NO,IBK,35.6,18.4,55,39.2
Mogo SF,174,NO,IBK,36.2,12.7,30,39.8
Mogo SF,306,YES,IBK,38.3,20.2,24,42.1
Mogo SF,262,YES,IBK,42.3,14,35,46.5
Mogo SF,285,YES,IBK,42.4,18,39,46.6
Mogo SF,352,YES,IBK,43.2,16.8,54,47.5
Mogo SF,289,YES,IBK,43.7,21.6,46,48.1
Mogo SF,229,YES,IBK,49.5,21.3,46,54.5
Mogo SF,232,YES,IBK,50,17.2,50,55
Mogo SF,293,YES,IBK,54,25.7,33,59.4
Mogo SF,247,YES,IBK,57,23.5,44,62.7
Mogo SF,230,NO,IBK,59.6,20.8,67,65.6
Mogo SF,356,NO,SPG,10,9,36,11
Mogo SF,154,NO,SPG,10.7,10.1,30,11.8
Mogo SF,207,NO,SPG,10.7,8.4,41,11.8
Mogo SF,150,NO,SPG,11.2,8.9,34,12.3
Mogo SF,271,NO,SPG,11.2,11.2,32,12.3
Mogo SF,202,NO,SPG,11.5,9.6,30,12.7
Mogo SF,339,NO,SPG,11.9,7.6,21,13.1
Mogo SF,355,NO,SPG,12,9.5,,13.2
Mogo SF,199,NO,SPG,12.5,7.6,23,13.8
Mogo SF,273,NO,SPG,12.6,11.5,42,13.9
Mogo SF,267,NO,SPG,12.7,10,30,14
Mogo SF,357,NO,SPG,13,12.2,20,14.3
Mogo SF,203,NO,SPG,13.1,12.7,32,14.4
Mogo SF,330,NO,SPG,13.1,11,34,14.4
Mogo SF,253,NO,SPG,13.2,12,60,14.5
Mogo SF,221,NO,SPG,13.5,11.3,24,14.9
Mogo SF,272,NO,SPG,13.5,9.1,35,14.9
Mogo SF,286,NO,SPG,13.6,11.4,22,15
Mogo SF,327,NO,SPG,13.6,9.6,42,15
Mogo SF,348,NO,SPG,14,12,35,15.4
Mogo SF,224,NO,SPG,14.3,13,45,15.7
Mogo SF,259,NO,SPG,14.3,13.7,54,15.7
Mogo SF,309,NO,SPG,14.4,10.1,34,15.8
Mogo SF,145,NO,SPG,14.5,11.2,25,16
Mogo SF,283,NO,SPG,14.7,10.7,21,16.2
Mogo SF,296,NO,SPG,14.9,14,41,16.4
Mogo SF,206,NO,SPG,15,10.9,38,16.5
Mogo SF,166,NO,SPG,15.1,11.2,58,16.6
Mogo SF,275,NO,SPG,15.2,13.7,,16.7
Mogo SF,343,NO,SPG,15.5,12,29,17.1
Mogo SF,304,NO,SPG,15.6,15.4,31,17.2
Mogo SF,215,NO,SPG,15.7,14.4,28,17.3
Mogo SF,266,NO,SPG,15.7,13.3,30,17.3
Mogo SF,322,NO,SPG,15.7,13.2,28,17.3
Mogo SF,342,NO,SPG,15.7,12,30,17.3
Mogo SF,165,NO,SPG,15.8,6.3,41,17.4
Mogo SF,216,NO,SPG,15.9,12.9,30,17.5
Mogo SF,159,NO,SPG,16.7,12.9,27,18.4
Mogo SF,168,NO,SPG,17.1,12.2,33,18.8
Mogo SF,317,NO,SPG,17.3,10.5,62,19
Mogo SF,220,NO,SPG,17.4,13.1,23,19.1
Mogo SF,354,NO,SPG,17.5,12.7,59,19.3
Mogo SF,144,NO,SPG,17.7,11.5,32,19.5
Mogo SF,214,NO,SPG,17.9,13.1,28,19.7
Mogo SF,251,NO,SPG,17.9,10.9,37,19.7
Mogo SF,281,NO,SPG,17.9,10.4,33,19.7
Mogo SF,204,NO,SPG,18,12.1,32,19.8
Mogo SF,268,NO,SPG,18,12.2,33,19.8
Mogo SF,208,NO,SPG,18.2,15.4,34,20
Mogo SF,295,NO,SPG,18.3,15,41,20.1
Mogo SF,305,NO,SPG,18.4,15.7,28,20.2
Mogo SF,336,NO,SPG,18.6,14.5,35,20.5
Mogo SF,344,NO,SPG,18.6,14.5,,20.5
Mogo SF,155,NO,SPG,18.8,8.2,41,20.7
Mogo SF,331,NO,SPG,18.9,14.4,27,20.8
Mogo SF,269,NO,SPG,19.1,15.3,58,21
Mogo SF,258,NO,SPG,19.2,15,42,21.1
Mogo SF,163,NO,SPG,19.4,14.6,49,21.3
Mogo SF,164,NO,SPG,19.5,15.3,33,21.5
Mogo SF,179,NO,SPG,19.5,10.7,26,21.5
Mogo SF,190,NO,SPG,19.6,9.5,35,21.6
Mogo SF,196,NO,SPG,19.7,14.8,23,21.7
Mogo SF,249,YES,SPG,19.7,14.8,29,21.7
Mogo SF,156,NO,SPG,19.8,14.9,40,21.8
Mogo SF,278,NO,SPG,19.9,15.2,37,21.9
Mogo SF,147,NO,SPG,20,11.7,42,22
Mogo SF,265,NO,SPG,20,13.6,62,22
Mogo SF,157,NO,SPG,20.5,15.5,38,22.6
Mogo SF,323,NO,SPG,20.5,14.9,33,22.6
Mogo SF,205,NO,SPG,20.7,16,32,22.8
Mogo SF,328,NO,SPG,20.7,14.1,50,22.8
Mogo SF,341,NO,SPG,21.7,12.1,35,23.9
Mogo SF,222,NO,SPG,22.1,12.6,39,24.3
Mogo SF,334,NO,SPG,22.3,13,34.5,24.5
Mogo SF,209,NO,SPG,22.5,14.1,35,24.8
Mogo SF,308,NO,SPG,22.6,14.1,88,24.9
Mogo SF,346,YES,SPG,22.8,14.5,43,25.1
Mogo SF,254,NO,SPG,23.6,15.6,55,26
Mogo SF,201,NO,SPG,23.9,10.4,32,26.3
Mogo SF,223,NO,SPG,24,11.5,28,26.4
Mogo SF,167,NO,SPG,24.1,15.3,45,26.5
Mogo SF,149,NO,SPG,24.2,14.4,46,26.6
Mogo SF,313,YES,SPG,24.4,16.8,44,26.8
Mogo SF,260,NO,SPG,24.6,12.4,40,27.1
Mogo SF,158,NO,SPG,25.4,16.5,34,27.9
Mogo SF,243,NO,SPG,25.4,16.8,32,27.9
Mogo SF,325,NO,SPG,25.7,20.1,37,28.3
Mogo SF,347,YES,SPG,25.7,15.4,40,28.3
Mogo SF,280,NO,SPG,25.8,16.8,36,28.4
Mogo SF,351,NO,SPG,25.8,16.2,,28.4
Mogo SF,252,NO,SPG,26,15.8,38,28.6
Mogo SF,303,NO,SPG,26.2,19.2,34,28.8
Mogo SF,326,NO,SPG,26.4,17.6,40,29
Mogo SF,274,YES,SPG,26.5,15.6,45,29.2
Mogo SF,345,YES,SPG,26.6,18.1,43,29.3
Mogo SF,162,NO,SPG,26.7,14.4,45,29.4
Mogo SF,200,NO,SPG,26.7,14.4,30,29.4
Mogo SF,242,NO,SPG,26.9,16.6,53,29.6
Mogo SF,185,NO,SPG,27.6,17.5,38,30.4
Mogo SF,228,NO,SPG,28.2,9.6,51,31
Mogo SF,255,NO,SPG,28.2,19.1,49,31
Mogo SF,198,NO,SPG,28.3,12.8,36,31.1
Mogo SF,178,NO,SPG,28.5,13.2,48.5,31.4
Mogo SF,276,YES,SPG,28.5,22.4,39,31.4
Mogo SF,284,NO,SPG,29,17.2,30,31.9
Mogo SF,279,YES,SPG,29.2,19.5,43,32.1
Mogo SF,234,NO,SPG,29.6,16.7,48,32.6
Mogo SF,340,NO,SPG,29.7,13.6,61,32.7
Mogo SF,315,NO,SPG,29.8,14.9,45,32.8
Mogo SF,173,YES,SPG,30.1,17.2,56,33.1
Mogo SF,291,NO,SPG,30.2,17.8,46,33.2
Mogo SF,324,YES,SPG,30.4,20.8,42,33.4
Mogo SF,181,NO,SPG,30.6,19.8,32,33.7
Mogo SF,153,NO,SPG,30.9,20,48,34
Mogo SF,210,YES,SPG,31.5,17.4,65,34.7
Mogo SF,189,YES,SPG,31.7,18.2,40,34.9
Mogo SF,186,NO,SPG,32,16.5,43,35.2
Mogo SF,244,YES,SPG,32.3,,,35.5
Mogo SF,321,YES,SPG,32.8,18.2,40,36.1
Mogo SF,191,YES,SPG,33,15.8,37,36.3
Mogo SF,316,YES,SPG,33.5,18,40,36.9
Mogo SF,160,YES,SPG,33.6,19.8,46,37
Mogo SF,329,YES,SPG,33.8,20.7,60,37.2
Mogo SF,314,YES,SPG,34.1,18.9,48,37.5
Mogo SF,350,YES,SPG,34.5,15.3,36,38
Mogo SF,335,YES,SPG,34.6,19.2,39,38.1
Mogo SF,194,NO,SPG,35,16,44,38.5
Mogo SF,257,YES,SPG,35.6,19.5,29,39.2
Mogo SF,219,YES,SPG,35.8,18.8,40,39.4
Mogo SF,217,NO,SPG,36,16.5,70,39.6
Mogo SF,241,NO,SPG,36,21.8,57,39.6
Mogo SF,282,NO,SPG,36,17.4,53,39.6
Mogo SF,193,YES,SPG,36.3,15.4,60,39.9
Mogo SF,277,YES,SPG,37.2,20,37,40.9
Mogo SF,270,YES,SPG,37.7,20.3,47,41.5
Mogo SF,248,YES,SPG,37.8,11.5,50,41.6
Mogo SF,171,YES,SPG,38,13.2,60,41.8
Mogo SF,358,NO,SPG,38,22.5,65,41.8
Mogo SF,349,YES,SPG,38.5,21.5,48,42.4
Mogo SF,237,YES,SPG,39.2,22.4,44,43.1
Mogo SF,264,YES,SPG,40,19.2,52,44
Mogo SF,187,YES,SPG,40.4,21,42,44.4
Mogo SF,183,YES,SPG,40.5,19.9,75,44.6
Mogo SF,188,YES,SPG,41.3,21.1,51,45.4
Mogo SF,337,NO,SPG,41.4,22.3,42,45.5
Mogo SF,225,NO,SPG,41.5,21.6,46,45.7
Mogo SF,261,YES,SPG,41.5,17.1,44,45.7
Mogo SF,332,YES,SPG,41.9,21.9,58,46.1
Mogo SF,172,NO,SPG,43.2,18.4,55,47.5
Mogo SF,227,YES,SPG,43.3,20.1,54,47.6
Mogo SF,211,NO,SPG,45,17,69,49.5
Mogo SF,245,YES,SPG,45.5,21.3,55,50.1
Mogo SF,300,YES,SPG,45.5,22,56,50.1
Mogo SF,233,YES,SPG,47.7,22.6,61,52.5
Mogo SF,318,YES,SPG,48.2,18.4,70,53
Mogo SF,338,YES,SPG,48.7,21.9,48.5,53.6
Mogo SF,307,YES,SPG,49.7,19.3,49,54.7
Mogo SF,197,YES,SPG,50.5,21.5,72,55.6
Mogo SF,195,YES,SPG,55,22.5,61,60.5
Mogo SF,175,YES,SPG,58.5,21.6,58,64.4
Mogo SF,246,YES,SPG,58.8,23.6,44,64.7
Mogo SF,287,YES,SPG,59.5,21.7,57,65.5
Mogo SF,302,YES,SPG,62.6,19,,68.9
Mogo SF,226,NO,SPG,64,12,120,70.4
Mogo SF,236,YES,SPG,68,24,62,74.8
Mogo SF,192,YES,SPG,71.2,27.9,89,78.3
Mogo SF,297,NO,WSB,11.3,10,20,12.4
Mogo SF,298,NO,WSB,11.7,11,,12.9
Mogo SF,231,NO,WSB,16.7,13,42,18.4
Mogo SF,212,NO,WSB,18.1,9.8,27,19.9
Mogo SF,180,NO,WSB,19.2,10.8,38,21.1
Mogo SF,292,NO,WSB,29,18.8,20,31.9
Mogo SF,177,NO,WSB,36.3,14.3,43,39.9
