Site,Tree No,Species,Stump weight (kg),Stump oven-dry weight (kg),Bark weight (kg),Bark oven-dry weight (kg),Wood weight (kg),Wood oven-dry weight (kg),Tree weight (kg),Tree oven-dry weight (kg)
Mogo SF,319,DEAD,0,0,4.1,2.9,37.1,26,41.2,28.8
Mogo SF,146,DEAD,18.6,13,27.9,19.5,232.1,162.5,278.6,195
Mogo SF,320,IBK,0,0,5.1,3.3,28.1,20.5,33.2,23.8
Mogo SF,240,IBK,3.1,2.3,7.4,4.8,37.6,27.5,48.1,34.6
Mogo SF,353,IBK,5.7,4.2,8.1,5.2,38.9,28.4,52.7,37.9
Mogo SF,333,IBK,5.1,3.8,8.1,5.3,39.7,29,52.9,38.1
Mogo SF,263,IBK,3.1,2.3,8.6,5.6,44.4,32.4,56.1,40.3
Mogo SF,294,IBK,6,4.5,14.4,9.3,73.6,53.7,94,67.5
Mogo SF,312,IBK,7.8,5.8,14.7,9.6,73.7,53.8,96.2,69.1
Mogo SF,288,IBK,10.1,7.5,17,11,84,61.3,111.1,79.8
Mogo SF,290,IBK,16.3,12.1,26.2,17,128.8,94,171.3,123.1
Mogo SF,299,IBK,13.7,10.2,27,17.6,136,99.3,176.7,127
Mogo SF,218,IBK,19.6,14.5,36.7,23.8,183.3,133.8,239.6,172.2
Mogo SF,182,IBK,22.8,16.9,39.3,25.5,194.5,142,256.6,184.4
Mogo SF,239,IBK,11,8.2,42,27.3,221.2,161.5,274.2,196.9
Mogo SF,256,IBK,17.9,13.2,42.8,27.8,219.2,160,279.9,201.1
Mogo SF,238,IBK,44.9,33.2,50.8,33,236.1,172.4,331.8,238.6
Mogo SF,235,IBK,34.8,25.8,60.7,39.5,301.3,219.9,396.8,285.2
Mogo SF,310,IBK,31.1,23,79.6,51.7,409.4,298.9,520.1,373.6
Mogo SF,170,IBK,35.9,26.6,80.3,52.2,408.3,298.1,524.5,376.9
Mogo SF,301,IBK,50,37,85.9,55.8,425.7,310.7,561.6,403.6
Mogo SF,174,IBK,46.2,34.2,111.2,72.3,569.4,415.7,726.8,522.2
Mogo SF,250,IBK,53.4,39.6,134.9,87.7,693.1,506,881.4,633.2
Mogo SF,184,IBK,81.9,60.7,141.7,92.1,702.5,512.8,926.1,665.7
Mogo SF,311,IBK,53.4,39.6,144.2,93.7,744.8,543.7,942.4,677
Mogo SF,289,IBK,103.3,76.5,188.7,122.6,941.3,687.2,1233.3,886.3
Mogo SF,232,IBK,147,108.9,193.1,125.5,921.9,673,1262,907.4
Mogo SF,262,IBK,73.6,54.6,198.7,129.1,1026.3,749.2,1298.6,932.9
Mogo SF,352,IBK,118.5,87.8,237,154,1193.4,871.2,1548.9,1113
Mogo SF,306,IBK,41.4,30.7,290.3,188.7,1565.5,1142.8,1897.2,1362.2
Mogo SF,285,IBK,82.4,61.1,291.5,189.5,1531.5,1118,1905.4,1368.5
Mogo SF,229,IBK,132.5,98.2,294.7,191.6,1499.1,1094.3,1926.3,1384.1
Mogo SF,230,IBK,279.8,207.3,389.4,253.1,1875.6,1369.2,2544.8,1829.6
Mogo SF,293,IBK,113.1,83.8,394.1,256.2,2068.9,1510.3,2576.1,1850.3
Mogo SF,247,IBK,168.1,124.5,428.6,278.6,2204.4,1609.2,2801.1,2012.3
Mogo SF,356,SPG,4,2.5,3.4,1.5,24.6,15.4,32,19.4
Mogo SF,266,SPG,8.2,5.1,5.2,2.4,36.6,22.9,50,30.4
Mogo SF,154,SPG,3.8,2.4,5.9,2.6,46.1,28.9,55.8,33.9
Mogo SF,207,SPG,5.2,3.3,6.8,3.1,52.7,33,64.7,39.3
Mogo SF,150,SPG,4.7,3,7.1,3.2,55.7,34.9,67.5,41
Mogo SF,357,SPG,3.7,2.4,7.3,3.3,58.1,36.4,69.1,42
Mogo SF,202,SPG,4.4,2.8,7.3,3.3,57.7,36.1,69.4,42.2
Mogo SF,327,SPG,8.6,5.4,7.4,3.3,54.2,33.9,70.2,42.7
Mogo SF,339,SPG,3.3,2.1,7.8,3.5,62.8,39.3,73.9,44.9
Mogo SF,355,SPG,0,0,8.7,3.9,73.9,46.3,82.6,50.2
Mogo SF,273,SPG,7.4,4.6,10,4.5,78,48.8,95.4,58
Mogo SF,203,SPG,6.1,3.8,10.1,4.5,79.9,50,96.1,58.4
Mogo SF,221,SPG,4.8,3,10.5,4.7,85.1,53.2,100.4,61
Mogo SF,253,SPG,11.6,7.3,11,4.9,82,51.3,104.6,63.6
Mogo SF,272,SPG,7.1,4.4,11.1,5,87.7,54.9,105.9,64.3
Mogo SF,224,SPG,10.2,6.4,11.2,5,84.8,53.1,106.2,64.5
Mogo SF,267,SPG,5.4,3.4,11.2,5,89.8,56.2,106.4,64.6
Mogo SF,199,SPG,4,2.5,11.2,5.1,91.8,57.4,107,65
Mogo SF,348,SPG,7.6,4.8,11.4,5.1,89.6,56.1,108.6,66
Mogo SF,286,SPG,4.5,2.8,11.5,5.2,93.5,58.5,109.5,66.5
Mogo SF,155,SPG,16.1,10.1,11.7,5.2,83.3,52.2,111.1,67.5
Mogo SF,271,SPG,4.4,2.8,11.9,5.4,97.2,60.8,113.5,69
Mogo SF,330,SPG,6.5,4.1,12.1,5.5,96.9,60.6,115.5,70.2
Mogo SF,309,SPG,7.8,4.9,12.7,5.7,100.3,62.8,120.8,73.4
Mogo SF,275,SPG,0,0,13,5.9,111.2,69.6,124.2,75.5
Mogo SF,259,SPG,12.2,7.7,13,5.9,99,61.9,124.2,75.5
Mogo SF,145,SPG,5.8,3.7,13.1,5.9,105.4,66,124.3,75.5
Mogo SF,283,SPG,5,3.2,14.2,6.4,116.2,72.7,135.4,82.3
Mogo SF,165,SPG,11.3,7.1,14.4,6.5,111.6,69.8,137.3,83.5
Mogo SF,206,SPG,9.5,5.9,14.4,6.5,113.6,71.1,137.5,83.5
Mogo SF,296,SPG,10.1,6.3,15.2,6.9,119.8,75,145.1,88.2
Mogo SF,144,SPG,11.1,7,15.2,6.9,118.8,74.3,145.1,88.2
Mogo SF,223,SPG,17.9,11.2,15.7,7.1,116.3,72.8,149.9,91.1
Mogo SF,342,SPG,8.2,5.1,17.1,7.7,137.3,86,162.6,98.8
Mogo SF,190,SPG,14.9,9.4,17.1,7.7,130.9,81.9,162.9,99
Mogo SF,354,SPG,20,12.6,17.2,7.7,126.8,79.4,164,99.7
Mogo SF,304,SPG,8.4,5.2,17.6,7.9,141.4,88.5,167.4,101.7
Mogo SF,220,SPG,7.7,4.8,18.7,8.4,151.3,94.7,177.7,108
Mogo SF,215,SPG,7.6,4.8,18.8,8.5,152.6,95.5,179,108.8
Mogo SF,166,SPG,14.6,9.2,19.1,8.6,147.9,92.6,181.6,110.4
Mogo SF,216,SPG,8.4,5.3,19.2,8.6,155.4,97.3,183,111.2
Mogo SF,317,SPG,20.6,12.9,19.5,8.8,145.5,91.1,185.6,112.8
Mogo SF,343,SPG,7.7,4.8,20.3,9.1,165.1,103.4,193.1,117.3
Mogo SF,322,SPG,7.6,4.8,20.8,9.3,169.2,105.9,197.6,120.1
Mogo SF,159,SPG,8.3,5.2,20.8,9.4,169.2,105.9,198.3,120.5
Mogo SF,168,SPG,10.7,6.7,21,9.4,168,105.2,199.7,121.3
Mogo SF,251,SPG,13.1,8.2,21.6,9.7,171.4,107.3,206.1,125.3
Mogo SF,281,SPG,11.7,7.4,21.8,9.8,174.2,109,207.7,126.2
Mogo SF,214,SPG,9.9,6.2,23.4,10.5,189.6,118.7,222.9,135.5
Mogo SF,204,SPG,11.5,7.2,23.7,10.7,190.3,119.1,225.5,137
Mogo SF,268,SPG,11.8,7.4,24,10.8,193,120.8,228.8,139.1
Mogo SF,269,SPG,23.4,14.7,24.5,11,185.5,116.1,233.4,141.9
Mogo SF,295,SPG,15.2,9.6,27.8,12.5,222.2,139.1,265.2,161.1
Mogo SF,164,SPG,13.3,8.4,27.9,12.5,224.1,140.3,265.3,161.2
Mogo SF,156,SPG,17.4,10.9,28.3,12.8,224.3,140.4,270,164
Mogo SF,208,SPG,12.5,7.8,28.7,12.9,232.1,145.3,273.3,166
Mogo SF,305,SPG,10.5,6.6,28.8,13,235,147.1,274.3,166.7
Mogo SF,336,SPG,13.4,8.4,29.6,13.3,238.8,149.5,281.8,171.2
Mogo SF,157,SPG,17.7,11.1,29.9,13.4,236.7,148.2,284.3,172.7
Mogo SF,222,SPG,21.1,13.2,30.3,13.6,236.7,148.2,288.1,175.1
Mogo SF,163,SPG,20.4,12.8,30.4,13.7,238.6,149.4,289.4,175.9
Mogo SF,328,SPG,23.7,14.9,31.2,14,241.8,151.4,296.7,180.3
Mogo SF,331,SPG,10.7,6.7,31.6,14.2,258.4,161.8,300.7,182.7
Mogo SF,344,SPG,0,0,31.7,14.3,270.3,169.2,302,183.5
Mogo SF,147,SPG,18.6,11.7,32.1,14.4,254.9,159.6,305.6,185.7
Mogo SF,243,SPG,22.9,14.4,32.5,14.6,254.5,159.3,309.9,188.3
Mogo SF,201,SPG,20.2,12.7,32.9,14.8,260.1,162.8,313.2,190.3
Mogo SF,265,SPG,27.5,17.3,33.1,14.9,254.9,159.6,315.5,191.7
Mogo SF,323,SPG,15.4,9.6,33.9,15.2,273.3,171.1,322.6,196
Mogo SF,179,SPG,11,6.9,34.2,15.4,280.8,175.8,326,198
Mogo SF,258,SPG,17.1,10.8,34.6,15.6,277.4,173.7,329.1,200
Mogo SF,205,SPG,15.2,9.5,34.8,15.6,281,175.9,331,201.1
Mogo SF,278,SPG,16.2,10.2,35,15.7,281.8,176.4,333,202.4
Mogo SF,196,SPG,9.9,6.2,36.5,16.4,301.5,188.7,347.9,211.4
Mogo SF,249,SPG,12.5,7.8,37.2,16.7,304.2,190.5,353.9,215
Mogo SF,346,SPG,24.8,15.5,38.5,17.3,303.1,189.8,366.4,222.6
Mogo SF,334,SPG,19,11.9,41.4,18.6,333.6,208.9,394,239.4
Mogo SF,254,SPG,33.9,21.3,42.8,19.3,330.8,207.1,407.5,247.7
Mogo SF,209,SPG,19.6,12.3,47.1,21.2,381.9,239.1,448.6,272.6
Mogo SF,149,SPG,29.8,18.7,49.3,22.2,390.7,244.6,469.8,285.5
Mogo SF,315,SPG,44.3,27.8,50.8,22.9,389,243.5,484.1,294.2
Mogo SF,347,SPG,29.3,18.4,52.1,23.4,414.9,259.7,496.3,301.5
Mogo SF,308,SPG,49.8,31.3,52.4,23.6,396.4,248.2,498.6,303
Mogo SF,162,SPG,35.5,22.3,56.5,25.4,445.9,279.1,537.9,326.9
Mogo SF,303,SPG,25.9,16.2,56.8,25.5,458,286.7,540.7,328.5
Mogo SF,313,SPG,29,18.2,56.9,25.6,456.1,285.5,542,329.3
Mogo SF,325,SPG,27.1,17,57.3,25.8,461.2,288.7,545.6,331.5
Mogo SF,351,SPG,0,0,58.7,26.4,500.3,313.2,559,339.6
Mogo SF,167,SPG,28.9,18.2,58.7,26.4,471.3,295,558.9,339.6
Mogo SF,158,SPG,24.3,15.3,59,26.5,478.4,299.5,561.7,341.3
Mogo SF,274,SPG,35,22,59.9,26.9,475.1,297.4,570,346.4
Mogo SF,326,SPG,30.9,19.4,60.2,27.1,482.2,301.9,573.3,348.3
Mogo SF,178,SPG,43.6,27.4,60.9,27.4,475.3,297.5,579.8,352.3
Mogo SF,341,SPG,18.3,11.5,61.8,27.8,508.2,318.2,588.3,357.4
Mogo SF,252,SPG,28.5,17.9,63.5,28.6,512.9,321.1,604.9,367.5
Mogo SF,185,SPG,32.1,20.1,63.5,28.6,509.5,318.9,605.1,367.7
Mogo SF,200,SPG,23.7,14.9,64.5,29,525.9,329.2,614.1,373.1
Mogo SF,280,SPG,26.5,16.7,64.8,29.1,525.4,328.9,616.7,374.7
Mogo SF,228,SPG,44.9,28.2,65.4,29.4,512.8,321,623.1,378.6
Mogo SF,173,SPG,51.8,32.5,66.2,29.8,512.1,320.5,630,382.8
Mogo SF,260,SPG,26.8,16.8,69.4,31.2,564.6,353.4,660.8,401.5
Mogo SF,255,SPG,43.2,27.1,69.7,31.4,551.3,345.1,664.2,403.6
Mogo SF,198,SPG,31.9,20.1,70.7,31.8,570.7,357.3,673.3,409.1
Mogo SF,291,SPG,46.5,29.2,73.1,32.9,576.5,360.9,696.1,423
Mogo SF,345,SPG,33.7,21.2,73.2,32.9,589.8,369.2,696.7,423.3
Mogo SF,234,SPG,46.6,29.3,74,33.3,584,365.6,704.6,428.1
Mogo SF,181,SPG,33.2,20.8,78,35.1,631.6,395.4,742.8,451.3
Mogo SF,242,SPG,42.5,26.7,78.6,35.4,627.7,392.9,748.8,455
Mogo SF,340,SPG,59.6,37.4,84.2,37.9,658.4,412.1,802.2,487.5
Mogo SF,210,SPG,66,41.4,90.9,40.9,709.1,443.9,866,526.2
Mogo SF,284,SPG,27.9,17.5,95.3,42.9,784.7,491.2,907.9,551.7
Mogo SF,279,SPG,40.6,25.5,95.4,42.9,772.6,483.6,908.6,552.1
Mogo SF,276,SPG,35.1,22,96.3,43.3,785.7,491.9,917.1,557.2
