dataset,location,latitude,longitude,vegetation,species,family,pft,age,h.t,d.bh,m.lf,m.st,m.so,m.br,m.rt,m.to,growingCondition
Yamaba2007,Japan-Miyoshi city-Toukaichimachi,34.78,132.85,TempF,Chamaecyparis obtusa,Cupressaceae,EG,39,18.9,0.235,22.2,164.3,209.7,23.2,34.0,243.7,PM
Yamaba2007,Japan-Miyoshi city-Toukaichimachi,34.78,132.85,TempF,Chamaecyparis obtusa,Cupressaceae,EG,39,17.9,0.220,16.4,124.1,157.1,16.6,30.3,187.4,PM
Yamaba2007,Japan-Miyoshi city-Toukaichimachi,34.78,132.85,TempF,Chamaecyparis obtusa,Cupressaceae,EG,39,16.8,0.205,14.3,114.9,148.1,18.9,22.0,170.1,PM
Yamaba2007,Japan-Miyoshi city-Toukaichimachi,34.78,132.85,TempF,Chamaecyparis obtusa,Cupressaceae,EG,39,15.6,0.194,17.2,100.0,132.8,15.6,31.0,163.8,PM
Yamaba2007,Japan-Shobara city-Nigorikawachyo,34.91,132.95,TempF,Chamaecyparis obtusa,Cupressaceae,EG,17,10.2,0.133,6.8,24.1,36.6,5.7,7.3,43.9,PM
Yamaba2007,Japan-Shobara city-Nigorikawachyo,34.91,132.95,TempF,Chamaecyparis obtusa,Cupressaceae,EG,17,10.0,0.129,6.0,23.5,35.1,5.6,6.5,41.6,PM
Yamaba2007,Japan-Shobara city-Nigorikawachyo,34.91,132.95,TempF,Chamaecyparis obtusa,Cupressaceae,EG,17,10.8,0.125,6.0,23.2,35.1,5.9,5.7,40.8,PM
Yamaba2007,Japan-Shobara city-Nigorikawachyo,34.91,132.95,TempF,Chamaecyparis obtusa,Cupressaceae,EG,17,11.1,0.111,3.8,19.0,25.4,2.6,3.9,29.3,PM
Yamaba2007,Japan-Miyoshi city-1,34.80,132.91,TempF,Quercus serrata,Fagaceae,DA,36,18.0,0.210,14.6,263.3,369.0,91.1,69.2,438.2,FW
Yamaba2007,Japan-Miyoshi city-1,34.80,132.91,TempF,Quercus serrata,Fagaceae,DA,36,18.5,0.189,3.4,132.7,151.5,15.4,38.9,190.4,FW
Yamaba2007,Japan-Miyoshi city-1,34.80,132.91,TempF,Quercus serrata,Fagaceae,DA,36,10.7,0.105,1.5,28.7,36.1,5.9,9.5,45.6,FW
Yamaba2007,Japan-Miyoshi city-1,34.80,132.91,TempF,Quercus serrata,Fagaceae,DA,25,9.3,0.058,0.4,6.4,7.8,1.0,2.2,10.0,FW
Yamaba2007,Japan-Shobara city-2,34.96,133.23,TempF,Quercus serrata,Fagaceae,DA,25,13.9,0.341,16.6,343.3,460.2,100.3,118.6,578.8,FW
Yamaba2007,Japan-Shobara city-2,34.96,133.23,TempF,Quercus serrata,Fagaceae,DA,25,13.4,0.210,7.1,128.2,190.2,54.9,52.0,242.2,FW
Yamaba2007,Japan-Shobara city-2,34.96,133.23,TempF,Quercus serrata,Fagaceae,DA,25,11.6,0.150,2.7,56.7,78.0,18.6,18.1,96.1,FW
Yamaba2007,Japan-Shobara city-2,34.96,133.23,TempF,Quercus serrata,Fagaceae,DA,19,10.4,0.083,1.0,17.8,22.5,3.7,6.2,28.7,FW
Yamaba2007,Japan-Higashihiroshima city-3,34.48,132.70,TempF,Pinus densiflora,Pinaceae,EG,56,18.8,0.259,NA,158.1,NA,NA,45.4,NA,FW
Yamaba2007,Japan-Higashihiroshima city-3,34.48,132.70,TempF,Pinus densiflora,Pinaceae,EG,53,18.1,0.186,2.4,91.4,96.9,3.1,19.2,116.1,FW
Yamaba2007,Japan-Higashihiroshima city-3,34.48,132.70,TempF,Pinus densiflora,Pinaceae,EG,56,17.1,0.143,1.6,62.6,66.7,2.5,13.6,80.3,FW
Yamaba2007,Japan-Higashihiroshima city-3,34.48,132.70,TempF,Pinus densiflora,Pinaceae,EG,49,14.1,0.092,1.0,26.2,28.4,1.2,3.3,31.7,FW
