Species,site,tree no,tree height (cm),height at the lowest leaf (or branch) (cm),diameter at the ground level (cm),diameter at breast height (at 130 cm from the ground) (cm),crown projection area (cm2),number of leaves,stem dry mass (g),leaf dry mass (g),branch dry mass (g),total above ground mass (g),source
Scaphium macropodum,"Mt. Berui, West kalimantan, Indonesia",1,855.0 ,843.0 ,5.1 ,4.2 ,20616.7 ,29 ,4164.6 ,201.4 ,0.0 ,4365.9 ,Yamada & Suzuki (1996)
Scaphium macropodum,"Mt. Berui, West kalimantan, Indonesia",2,600.0 ,590.0 ,4.7 ,4.2 ,34086.3 ,21 ,3362.5 ,222.9 ,0.0 ,3585.4 ,Yamada & Suzuki (1996)
Scaphium macropodum,"Mt. Berui, West kalimantan, Indonesia",3,727.0 ,652.0 ,4.9 ,4.5 ,,72 ,5167.1 ,755.1 ,0.0 ,5922.3 ,Yamada & Suzuki (1996)
Scaphium macropodum,"Mt. Berui, West kalimantan, Indonesia",4,93.4 ,38.9 ,0.7 ,,,16 ,15.4 ,10.6 ,0.0 ,26.1 ,Yamada & Suzuki (1996)
Scaphium macropodum,"Mt. Berui, West kalimantan, Indonesia",5,58.4 ,56.1 ,0.9 ,,,5 ,7.6 ,2.6 ,0.0 ,10.2 ,Yamada & Suzuki (1996)
Scaphium macropodum,"Mt. Berui, West kalimantan, Indonesia",6,30.7 ,8.7 ,0.6 ,,,9 ,3.4 ,4.3 ,0.0 ,7.8 ,Yamada & Suzuki (1996)
Scaphium macropodum,"Mt. Berui, West kalimantan, Indonesia",7,108.3 ,60.5 ,1.2 ,,,21 ,36.1 ,30.4 ,0.0 ,66.5 ,Yamada & Suzuki (1996)
Scaphium macropodum,"Mt. Berui, West kalimantan, Indonesia",8,125.5 ,62.7 ,1.3 ,,,18 ,34.7 ,15.5 ,0.0 ,50.2 ,Yamada & Suzuki (1996)
Scaphium macropodum,"Mt. Berui, West kalimantan, Indonesia",9,80.6 ,67.6 ,1.1 ,,,10 ,15.8 ,10.6 ,0.0 ,26.4 ,Yamada & Suzuki (1996)
Scaphium macropodum,"Mt. Berui, West kalimantan, Indonesia",10,46.8 ,33.4 ,0.6 ,,,10 ,4.6 ,4.2 ,0.0 ,8.8 ,Yamada & Suzuki (1996)
Scaphium macropodum,"Mt. Berui, West kalimantan, Indonesia",11,415.5 ,400.0 ,3.0 ,2.0 ,,25 ,719.8 ,79.1 ,0.0 ,798.9 ,Yamada & Suzuki (1996)
Scaphium macropodum,"Mt. Berui, West kalimantan, Indonesia",12,26.5 ,20.3 ,0.5 ,,,8 ,1.3 ,1.4 ,0.0 ,2.7 ,Yamada & Suzuki (1996)
Scaphium macropodum,"Mt. Berui, West kalimantan, Indonesia",13,40.5 ,22.3 ,0.5 ,,,12 ,2.2 ,3.1 ,0.0 ,5.3 ,Yamada & Suzuki (1996)
