"var_in","method","unit_in","var_out","notes"
"dataset",NA,NA,NA,NA
"location",NA,NA,"location",NA
"latitude",NA,"deg","latitude",NA
"longitude",NA,"deg","longitude",NA
"vegetation",NA,NA,"vegetation",NA
"family",NA,NA,"family",NA
"species",NA,NA,"species",NA
"pft",NA,NA,"pft",NA
"m.lf","m4,x1,x1","kg","m.lf",NA
"m.st","m4,x1,j","kg","m.st",NA
"m.so","m4,x1","kg","m.so",NA
"m.br","m4,x1","kg","m.br",NA
"m.rc","m4,x1","kg","m.rt",NA
"m.to","m4,x1","kg","m.to",NA
"d.ba",NA,"m","d.ba",NA
"d.bh","d3","m","d.bh",NA
"h.t",NA,"m","h.t",NA
"h.c",NA,"m","h.c",NA
"d.cr","f","m","d.cr",NA
"a.stbc",NA,"m2","a.stbc",NA
"growingCondition",NA,NA,"growingCondition",NA
