dataset,grouping,location,latitude,longitude,vegetation,lai,map,mat,family,species,pft,age,a.lf,a.ssba,a.ssbh,a.ssbc,a.shba,a.shbh,a.shbc,a.sbba,a.sbbh,a.sbbc,a.stba,a.stbh,a.stbc,a.cp,a.cs,h.t,h.c,d.ba,d.bh,d.cr,c.d,m.lf,m.ss,m.sh,m.sb,m.st,m.so,m.br,m.rf,m.rc,m.rt,m.to,a.ilf,ma.ilf,r.st,r.ss,r.sb,r.sh,n.lf,n.ss,n.sb,n.sh,n.rf,n.rc,growingCondition,status,light
Nagano0000,NA,Japan-Minamata IBP-P2,32.17,130.59,NA,NA,NA,NA,Fagaceae,Castanopsis cuspidata,EA,NA,74.1009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.052685294,NA,NA,21.3,12.4,0.56,0.348,NA,NA,10.06,NA,NA,NA,456.3,633.06,166.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Nagano0000,NA,Japan-Minamata IBP-P2,32.17,130.59,NA,NA,NA,NA,Fagaceae,Castanopsis cuspidata,EA,NA,46.1484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.026302199,NA,NA,17.3,9.3,0.411,0.23,NA,NA,4.41,NA,NA,NA,245.8,283.71,33.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Nagano0000,NA,Japan-Minamata IBP-P2,32.17,130.59,NA,NA,NA,NA,Apocynaceae,Trachelospermum asiaticum,EA,NA,2.0219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.3,NA,NA,NA,NA,NA,0.148,NA,NA,NA,NA,0.425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Nagano0000,NA,Japan-Minamata IBP-P2,32.17,130.59,NA,NA,NA,NA,Fagaceae,Castanopsis cuspidata,EA,NA,26.5039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.013684778,NA,NA,14.5,7,0.248,0.155,NA,NA,1.95,NA,NA,NA,83.8,91.85,6.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Nagano0000,NA,Japan-Minamata IBP-P2,32.17,130.59,NA,NA,NA,NA,Fagaceae,Castanopsis cuspidata,EA,NA,49.8898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.061575216,NA,NA,20.2,3.9,0.505,0.307,NA,NA,4.85,NA,NA,NA,340.1,447.35,102.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Nagano0000,NA,Japan-Minamata IBP-P2,32.17,130.59,NA,NA,NA,NA,Fagaceae,Quercus gilva,EA,NA,8.241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003948047,NA,NA,12.7,7.6,0.124,0.0999,NA,NA,0.67,NA,NA,NA,32.2,35.77,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Nagano0000,NA,Japan-Minamata IBP-P2,32.17,130.59,NA,NA,NA,NA,Fagaceae,Castanopsis cuspidata,EA,NA,193.8315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.073541542,NA,NA,20.4,9.4,0.578,0.341,NA,NA,22.77,NA,NA,NA,423.2,785.77,339.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Nagano0000,NA,Japan-Minamata IBP-P2,32.17,130.59,NA,NA,NA,NA,Apocynaceae,Trachelospermum asiaticum,EA,NA,0.5453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.3,NA,NA,NA,NA,NA,0.04,NA,NA,NA,NA,0.109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Nagano0000,NA,Japan-Minamata IBP-P2,32.17,130.59,NA,NA,NA,NA,Fagaceae,Quercus gilva,EA,NA,5.8653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00243669,NA,NA,12.85,9.6,0.152,0.0996,NA,NA,0.49,NA,NA,NA,34.7,37.09,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Nagano0000,NA,Japan-Minamata IBP-P2,32.17,130.59,NA,NA,NA,NA,Ternstroemiaceae,Cleyera japonica,EA,NA,16.1811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003117245,NA,NA,5.5,0.76,0.0987,0.0535,NA,NA,1.51,NA,NA,NA,4.4,8.41,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
