Variable.Unit,contributor,family,species,age.yr,a.lf.m2,a.ss.cm2,a.st.cm2,a.cp.cm,h.t.m,h.c.m,m.lf.kg,m.br.kg,lf.ma.kg.m2,d.st.g.cm3,pft,growingCondition,status,light,group,location,latitude,longitude,vegetation,lai.m2.m2,map.mm,mat,reference
Sept2008meas,"le Maire et al., 2011",Eucalyptus,E. grandis (W. Hill ex Maiden) * E. urophylla (S.T. Blake) hybrids,4.46,2.96,,36.78,,13.8,10,0.27,,0.09,,EA,PM,1,1,,MG14U,-22.35,-46.97,TropSF,2.1867,1200,20,"le Maire, G., Marsden, C., Verhoef, W., Ponzoni, F.J., Lo Seen, D., B_gu_, A., Stape, J.-L., & Nouvellon, Y. (2011). Leaf area index estimation with MODIS reflectance time series and model inversion during full rotations of Eucalyptus plantations. Remote Sensing of Environment, 115, 586-599"
Sept2008meas,"le Maire et al., 2011",Eucalyptus,E. grandis (W. Hill ex Maiden) * E. urophylla (S.T. Blake) hybrids,4.46,4.37,38.83,79.46,,18.7,15.5,0.48,1.8425,0.11,,EA,PM,3,3,,MG14U,-22.35,-46.97,TropSF,2.1867,1200,20,"le Maire, G., Marsden, C., Verhoef, W., Ponzoni, F.J., Lo Seen, D., B_gu_, A., Stape, J.-L., & Nouvellon, Y. (2011). Leaf area index estimation with MODIS reflectance time series and model inversion during full rotations of Eucalyptus plantations. Remote Sensing of Environment, 115, 586-599"
Sept2008meas,"le Maire et al., 2011",Eucalyptus,E. grandis (W. Hill ex Maiden) * E. urophylla (S.T. Blake) hybrids,4.46,4.63,33.37,103.13,,20.9,17.8,0.48,,0.1,,EA,PM,4,4,,MG14U,-22.35,-46.97,TropSF,2.1867,1200,20,"le Maire, G., Marsden, C., Verhoef, W., Ponzoni, F.J., Lo Seen, D., B_gu_, A., Stape, J.-L., & Nouvellon, Y. (2011). Leaf area index estimation with MODIS reflectance time series and model inversion during full rotations of Eucalyptus plantations. Remote Sensing of Environment, 115, 586-599"
Sept2008meas,"le Maire et al., 2011",Eucalyptus,E. grandis (W. Hill ex Maiden) * E. urophylla (S.T. Blake) hybrids,4.46,10.64,54.64,131.82,240,22.8,18.9,1.26,3.271,0.12,0.522764957,EA,PM,5,5,,MG14U,-22.35,-46.97,TropSF,2.1867,1200,20,"le Maire, G., Marsden, C., Verhoef, W., Ponzoni, F.J., Lo Seen, D., B_gu_, A., Stape, J.-L., & Nouvellon, Y. (2011). Leaf area index estimation with MODIS reflectance time series and model inversion during full rotations of Eucalyptus plantations. Remote Sensing of Environment, 115, 586-599"
Sept2008meas,"le Maire et al., 2011",Eucalyptus,E. grandis (W. Hill ex Maiden) * E. urophylla (S.T. Blake) hybrids,4.46,13.53,138.08,161.86,,24.2,20.3,1.64,3.625,0.12,0.529810381,EA,PM,6,6,,MG14U,-22.35,-46.97,TropSF,2.1867,1200,20,"le Maire, G., Marsden, C., Verhoef, W., Ponzoni, F.J., Lo Seen, D., B_gu_, A., Stape, J.-L., & Nouvellon, Y. (2011). Leaf area index estimation with MODIS reflectance time series and model inversion during full rotations of Eucalyptus plantations. Remote Sensing of Environment, 115, 586-599"
Sept2008meas,"le Maire et al., 2011",Eucalyptus,E. grandis (W. Hill ex Maiden) * E. urophylla (S.T. Blake) hybrids,4.46,24.88,76.09,202.94,277.5,25.45,20.4,3.17,3.485,0.13,0.524373009,EA,PM,7,7,,MG14U,-22.35,-46.97,TropSF,2.1867,1200,20,"le Maire, G., Marsden, C., Verhoef, W., Ponzoni, F.J., Lo Seen, D., B_gu_, A., Stape, J.-L., & Nouvellon, Y. (2011). Leaf area index estimation with MODIS reflectance time series and model inversion during full rotations of Eucalyptus plantations. Remote Sensing of Environment, 115, 586-599"
Sept2008meas,"le Maire et al., 2011",Eucalyptus,E. grandis (W. Hill ex Maiden) * E. urophylla (S.T. Blake) hybrids,4.46,29.89,202.96,245.12,,26.05,20.3,3.94,8.6455,0.13,0.531796492,EA,PM,8,8,,MG14U,-22.35,-46.97,TropSF,2.1867,1200,20,"le Maire, G., Marsden, C., Verhoef, W., Ponzoni, F.J., Lo Seen, D., B_gu_, A., Stape, J.-L., & Nouvellon, Y. (2011). Leaf area index estimation with MODIS reflectance time series and model inversion during full rotations of Eucalyptus plantations. Remote Sensing of Environment, 115, 586-599"
Sept2008meas,"le Maire et al., 2011",Eucalyptus,E. grandis (W. Hill ex Maiden) * E. urophylla (S.T. Blake) hybrids,4.46,28.47,94.11,281.72,325,26.5,20.8,4.12,9.2,0.14,0.541559446,EA,PM,9,9,,MG14U,-22.35,-46.97,TropSF,2.1867,1200,20,"le Maire, G., Marsden, C., Verhoef, W., Ponzoni, F.J., Lo Seen, D., B_gu_, A., Stape, J.-L., & Nouvellon, Y. (2011). Leaf area index estimation with MODIS reflectance time series and model inversion during full rotations of Eucalyptus plantations. Remote Sensing of Environment, 115, 586-599"
Sept2008meas,"le Maire et al., 2011",Eucalyptus,E. grandis (W. Hill ex Maiden) * E. urophylla (S.T. Blake) hybrids,2.44,8.73,,40.29,,13,8.3,0.81,,0.09,,EA,PM,1,1,,NS24U,-22.35,-46.97,TropSF,3.5867,1200,20,"le Maire, G., Marsden, C., Verhoef, W., Ponzoni, F.J., Lo Seen, D., B_gu_, A., Stape, J.-L., & Nouvellon, Y. (2011). Leaf area index estimation with MODIS reflectance time series and model inversion during full rotations of Eucalyptus plantations. Remote Sensing of Environment, 115, 586-599"
Sept2008meas,"le Maire et al., 2011",Eucalyptus,E. grandis (W. Hill ex Maiden) * E. urophylla (S.T. Blake) hybrids,2.44,16.37,,63.73,260,15.45,9.4,1.85,,0.11,,EA,PM,2,2,,NS24U,-22.35,-46.97,TropSF,3.5867,1200,20,"le Maire, G., Marsden, C., Verhoef, W., Ponzoni, F.J., Lo Seen, D., B_gu_, A., Stape, J.-L., & Nouvellon, Y. (2011). Leaf area index estimation with MODIS reflectance time series and model inversion during full rotations of Eucalyptus plantations. Remote Sensing of Environment, 115, 586-599"
