"var_in","method","unit_in","var_out","notes"
"age","k1","yr","age",NA
"a.lf","e1","m2","a.lf",NA
"a.ss","d1","cm2","a.ssba",NA
"a.st","v3","cm2","a.stbh",NA
"a.cp","v6","cm","d.cr",NA
"h.t","x6","m","h.t",NA
"h.c","x6","m","h.c",NA
"m.lf","m3,x6,x1","kg","m.lf",NA
"m.br","m3","kg","m.br",NA
"lf.ma","m3,x1","kg.m2","ma.ilf",NA
"d.st","j,k3","g.cm3","r.st",NA
"lai","k3","m2.m2","lai",NA
"Variable",NA,NA,NA,NA
"contributor",NA,NA,NA,NA
"family",NA,NA,"family",NA
"species",NA,NA,"species",NA
"pft",NA,NA,"pft",NA
"growingCondition",NA,NA,"growingCondition",NA
"status",NA,NA,"status",NA
"light","?",NA,"light",NA
"location",NA,NA,"location",NA
"latitude",NA,"deg","latitude",NA
"longitude",NA,"deg","longitude",NA
"vegetation",NA,NA,"vegetation",NA
"map",NA,"mm","map",NA
"mat",NA,"deg","mat",NA
