dataset,location,latitude,longitude,vegetation,map,mat,grouping,species,family,pft,a.cp,h.t,h.c,d.ba,d.bh,c.d,m.lf,m.st,m.so,m.br,growingCondition
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Miconia argentea,,,,2.7,,1.6,1,,0.017807427,0.113534404,0.131341831,0,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Miconia argentea,,,,5.8,,7,5.2,,1.299827477,6.430592409,7.730419886,1.978539029,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Xylopia frutescens,,,,4.65,,2.8,2.2,,0.129336253,0.680364408,0.809700661,0.143563579,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Vismia baccifera,,,,5.8,,4.5,3.2,,0.058837232,0.805730097,0.864567329,0.102041881,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Byrsonima crassifolia,,,,4.7,,5,3.2,,0.307926694,1.533404996,1.84133169,0.447247955,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Miconia affinis,,,,2.1,,1.6,0.8,,0.02889551,0.092283125,0.121178635,0.01333332,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Xylopia frutescens,,,,2,,,0.95,,0.104128725,0.1899153,0.294044024,0.062964693,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Xylopia frutescens,,,2.686061673,3.8,1.45,5.05,3.35,2.35,0.426123482,1.57121565,1.997339132,0.509072568,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Xylopia frutescens,,,,1.9,,1.05,0.5,,0.016743177,0.037259897,0.054003074,0.00843777,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Xylopia frutescens,,,0.879645928,2.65,1.8,1.6,1,0.85,0.023702778,0.09844979,0.122152568,0.01412631,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Xylopia frutescens,,,1.429424633,2.7,1.8,1.6,1.15,0.9,0.004554891,0.13222147,0.136776361,0.02681712,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Terminalia amazonia,,,0.94247778,2,0.5,2,0.9,1.5,0.023011263,0.114344951,0.137356214,0.00945153,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Miconia argentea,,,0.196349538,2,1.5,1.05,0.7,0.5,0.010442619,0.045518354,0.055960973,0,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Byrsonima crassifolia,,,2.002765283,3,1.3,2.6,1.75,1.7,0.030627333,0.34706889,0.377696223,0.09355698,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Miconia argentea,,,0.329867223,1.5,1,1.4,0.7,0.5,0.037335178,0.039672306,0.077007484,0,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Byrsonima crassifolia,,,0.510508798,2.1,1,3.45,1.4,1.1,0.117353927,0.334044276,0.451398203,0.114288828,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Miconia argentea,,,0.282743334,2.8,2.4,1.65,1.05,0.4,0.018055995,0.111963847,0.130019842,0,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Vismia macrophylla,,,3.92699075,4,2.35,2.55,2.05,1.65,0.099339517,0.508124926,0.607464443,0.07572542,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Vismia baccifera,,,1.25663704,4.15,3,2.1,1.6,1.15,0.04355952,0.340079973,0.383639493,0.024803815,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Byrsonima crassifolia,,,0.178678079,1.8,1.4,1.9,0.55,0.4,0.008519579,0.06445494,0.072974519,0.0042372,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Terminalia amazonia,,,2.35619445,2.5,2,2.65,1.65,0.5,0.092084225,0.452517093,0.544601319,0.10860795,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Conostegia xalapensis,,,4.908738438,2.45,0.5,1.25,0.5,1.95,0.00846747,0.073676885,0.082144355,0,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Conostegia xalapensis,,,,2.45,0.5,1.15,0.5,1.95,0.00978417,0.043033102,0.052817272,0,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Conostegia xalapensis,,,,2.45,0.5,1.45,0.7,1.95,0.021255726,0.077353064,0.09860879,0,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Conostegia xalapensis,,,,2.45,0.5,0.85,0.3,1.95,0.005043555,0.022180066,0.027223621,0,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Conostegia xalapensis,,,,2.45,0.5,1.95,1.1,1.95,0.060349952,0.21389879,0.274248743,0,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Conostegia xalapensis,,,,2.45,0.5,2.5,1.2,1.95,0.038242228,0.307146327,0.345388555,0,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Conostegia xalapensis,,,,2.45,0.5,3.1,1.6,1.95,0.150842576,0.362833614,0.51367619,0,FW
