"var_in","method","unit_in","var_out","notes"
"dataset",NA,NA,NA,NA
"location",NA,NA,"location",NA
"latitude",NA,"deg","latitude",NA
"longitude",NA,"deg","longitude",NA
"vegetation",NA,NA,"vegetation",NA
"map",NA,"mm","map",NA
"mat",NA,"deg","mat",NA
"species",NA,NA,"species",NA
"family",NA,NA,"family",NA
"pft",NA,NA,"pft",NA
"a.cp","k3","m2","a.cp",NA
"h.t","?","m","h.t",NA
"h.c","d6","m","h.c",NA
"d.ba","v3","cm","d.ba",NA
"d.bh","d3","cm","d.bh",NA
"m.lf","m3,x1","kg","m.lf",NA
"m.st","m3","kg","m.st",NA
"m.so","m3","kg","m.so",NA
"m.br","m3","kg","m.br",NA
"growingCondition",NA,NA,"growingCondition",NA
