age,h.t,h.c,a.st,a.sh,a.ss,m.rt,m.st,a.cp,m.br,m.f,a.cs,pft,species,growingCondition,fertilized

36,13.41,7.51,0.011689856,0.000754767,0.009097259,2.732,28.113,3.017183036, , ,37.33319555,EG,Pinus sylvestris,PM,no

40,15.85,8.75,0.02835285,0.004417861,0.018013877,8.144,82.198,5.810684864, , ,60.97340436,EG,Pinus sylvestris,PM,no

36,15.95,9.95,0.029103886,0.001963494,0.022503406,13.951,93.806,7.0685775, , ,76.32232216,EG,Pinus sylvestris,PM,no

32,12,6,0.008171276,0.000314159,0.006047561,0.695,24.201,2.061197199,2.021,2.026,24.6954084,EG,Pinus sylvestris,PM,no

37,14.3,8.5,0.021124051,0.002290219,0.014566178,5.363,59.648,5.3092871,9.553,5.739,56.55852416,EG,Pinus sylvestris,PM,no

38,17.4,10.1,0.033491117,0.003525649,0.026646181,21.852,120.47,6.1575164,15.327,8.767,71.95216027,EG,Pinus sylvestris,PM,no

25,8.3,3.9,0.002507185,0.000132732,0.00203202,0.258,5.391,1.410259751, , ,13.48523855,EG,Pinus sylvestris,PM,no

23,11.3,5.8,0.005152993,0,0.004536456,1.212,14.555,1.960666319, , ,23.29372894,EG,Pinus sylvestris,PM,no

29,11.9,7.3,0.024884534,0.00159043,0.018641606,4.867,59.733,2.601550679, , ,33.62388174,EG,Pinus sylvestris,PM,no

24,5.4,3.2,0.00119459,5.03E-05,0.000857654,0,1.715,1.5393791,0.195,0.081,11.82792629,EG,Pinus sylvestris,PM,no

24,10.3,5.6,0.006647604,0.000314159,0.005161829,0.522,15.404,4.154752775,2.676,1.27,33.77360909,EG,Pinus sylvestris,PM,no

38,13,6.2,0.015836755,0.001256636,0.01222157,4.955,48.115,4.448805599,5.312,3.056,38.43770776,EG,Pinus sylvestris,PM,no

7,2.9,2.2,0.00022698,2.83E-05,0.00014844,0,0.313,0.693977231, , ,5.445477401,EG,Pinus sylvestris,PM,no

10,3.8,3,0.001963494,0,0.001555283,0,1.947,1.093587479, , ,9.242565185,EG,Pinus sylvestris,PM,no

12,6.3,5.1,0.007013796,0,0.00587654,1.022,10.423,2.717161191, , ,24.59735373,EG,Pinus sylvestris,PM,no

6,2.1,1.2,9.50E-05,1.26E-05,6.60E-05,0,0.23,0.580879991,0.06,0.061,2.955686011,EG,Pinus sylvestris,PM,no

12,6.5,5,0.006503877,0,0.005152993,1.12,9.009,5.557158551,3.479,3.192,36.02984054,EG,Pinus sylvestris,PM,no

15,6.1,5,0.008171276,0,0.006647604,1.208,9.98,3.332912831,4.536,4.213,27.01712136,EG,Pinus sylvestris,PM,no

82,15.8,4.7,0.01358129,0.003421192,0.008268665,4.309,57.921,1.960666319, , ,19.13016702,EG,Pinus sylvestris,PM,no

83,16.1,4.7,0.019855634,0.007853975,0.008094503,4.176,89.231,2.164241351, , ,20.17660369,EG,Pinus sylvestris,PM,no

87,19.9,13,0.063347021,0.016971655,0.033300854,33.361,256.245,4.154752775, , ,74.77991191,EG,Pinus sylvestris,PM,no

81,14.8,4.1,0.0130698,0.003631678,0.005871632,1.506,41.962,2.216705904,1.921,1.445,18.05719909,EG,Pinus sylvestris,PM,no

80,17.3,7.4,0.027464565,0.005026544,0.018615688,14.519,124.338,4.300522551,12.353,10.883,44.4129244,EG,Pinus sylvestris,PM,no

87,20.5,10.7,0.071157799,0.018869175,0.040526511,25.492,322.098,5.067070511,34.32,20.139,68.63349125,EG,Pinus sylvestris,PM,no

26,10.4,6.3,0.005541765,0.000113097,0.004543525,0.806,13.674,2.432847296, , ,28.22288861,EG,Pinus sylvestris,PM,no

29,12.3,7.1,0.011979079,0.000706858,0.008454019,1.827,28.75,4.011496271, , ,41.17415741,EG,Pinus sylvestris,PM,no

29,14.8,9.9,0.026590418,0.001734943,0.01951811,8.059,77.934,5.896450271, , ,69.00979711,EG,Pinus sylvestris,PM,no

25,6.1,3.6,0.002733969,9.50E-05,0.002195186,0.301,4.54,2.377869471,1.206,0.693,16.74084957,EG,Pinus sylvestris,PM,no

28,12.7,6.5,0.008332282,0.000490873,0.006672148,1.731,24.635,3.332912831,2.384,2.357,34.34855724,EG,Pinus sylvestris,PM,no

29,14.8,9.7,0.040828104,0.006647604,0.027495392,12.231,112.321,9.402464711,26.774,10.255,86.86446338,EG,Pinus sylvestris,PM,no

71,12.8,6.3,0.011594234,0.0014522,0.00762405,3.368,33.711,1.814582384, , ,24.19935059,EG,Pinus sylvestris,PM,no

79,14.6,7.8,0.026302177,0.003525649,0.016832639,6.769,81.418,2.717161191, , ,36.64454211,EG,Pinus sylvestris,PM,no

77,15.24,8.64,0.031888906,0.005152993,0.018489239,9.887,94.257,2.5446879, , ,39.08132338,EG,Pinus sylvestris,PM,no

