"spdataset","dataset","species","age","dbh","sapbh","sapcb","h_t","h_c","cw","m_lf","a_lf","wbr","m_st","a_cs","SAcon","Vell","sp","authorname","reference","country","remark","a_cp","a_st","a_ss_dbh","a_ss_crownbase"
"Kantola-PIAB","Kantola","PIAB",NA,22.5,NA,NA,24.8,7.9,3.3,7.414407911,NA,14.487302,NA,68.480951956555,50.3873037727334,45.0457262634972,"Picea abies","L.","Kantola and Mäkelä 2004","Finland","",8.55298599939821,0.0397607820219958,NA,NA
"Kantola-PIAB","Kantola","PIAB",NA,27.8,NA,NA,29.8,7.9,3.95,17.42917235,NA,26.39973973,NA,83.7793218008265,62.7794320826926,64.5386541805524,"Picea abies","L.","Kantola and Mäkelä 2004","Finland","",12.2541748444087,0.0606987116600084,NA,NA
"Kantola-PIAB","Kantola","PIAB",NA,28,NA,NA,31.1,13.5,3.55,11.79228597,NA,24.58240527,NA,121.597453860107,85.8263066977434,89.0818231879471,"Picea abies","L.","Kantola and Mäkelä 2004","Finland","",9.89798035421634,0.06157521601036,NA,NA
"Kantola-PIAB","Kantola","PIAB",NA,31.45,NA,NA,29,9.7,3.8,13.19104525,NA,29.23524925,NA,96.2003203780115,70.3409788304921,73.3394333005025,"Picea abies","L.","Kantola and Mäkelä 2004","Finland","",11.3411494794592,0.0776839286911825,NA,NA
"Kantola-PIAB","Kantola","PIAB",NA,35.7,NA,NA,32.9,14.2,4.9,19.18748785,NA,46.72777188,NA,179.605473073212,129.768272150514,178.516813750035,"Picea abies","L.","Kantola and Mäkelä 2004","Finland","",18.8574099031727,0.100098210526841,NA,NA
"Kantola-PIAB","Kantola","PIAB",NA,31,NA,NA,31.7,13.4,4.9,18.30761603,NA,43.19547234,NA,170.29609718482,123.705630542483,168.459528468343,"Picea abies","L.","Kantola and Mäkelä 2004","Finland","",18.8574099031727,0.0754767635024948,NA,NA
"Kantola-PIAB","Kantola","PIAB",NA,36.05,NA,NA,32.5,13.5,4.2,20.76155157,NA,41.51816266,NA,145.268027018227,103.989700695195,124.689812420979,"Picea abies","L.","Kantola and Mäkelä 2004","Finland","",13.854423602331,0.102070541664673,NA,NA
"Kantola-PIAB","Kantola","PIAB",NA,41.65,NA,NA,33,17.5,5.8,25.4390094,NA,57.0791859,NA,261.1989058776,188.030946596797,308.242599194718,"Picea abies","L.","Kantola and Mäkelä 2004","Finland","",26.4207942166902,0.136244786550423,NA,NA
"Kantola-PIAB","Kantola","PIAB",NA,40.15,NA,NA,35,18,5.8,31.97943906,NA,79.58404711,NA,268.118719505254,192.526637651848,317.049530600282,"Picea abies","L.","Kantola and Mäkelä 2004","Finland","",26.4207942166902,0.126607951085536,NA,NA
"Kantola-PIAB","Kantola","PIAB",NA,28.35,NA,NA,28.7,16.3,5.15,22.90771982,NA,55.26332795,NA,215.29395278909,154.326452507466,226.360520970636,"Picea abies","L.","Kantola and Mäkelä 2004","Finland","",20.8307227887088,0.0631242175381206,NA,NA
"Kantola-PIAB","Kantola","PIAB",NA,32.15,NA,NA,28.5,17,5.15,23.87230383,NA,53.41555374,NA,223.920362721892,159.922615485553,236.0815249387,"Picea abies","L.","Kantola and Mäkelä 2004","Finland","",20.8307227887088,0.0811805213146279,NA,NA
"Kantola-PIAB","Kantola","PIAB",NA,37.2,NA,NA,30.9,16.6,5.35,28.17132456,NA,64.85911199,NA,228.084010397224,163.782142188973,248.779318845734,"Picea abies","L.","Kantola and Mäkelä 2004","Finland","",22.4800589318435,0.108686539443593,NA,NA
"Kantola-PIAB","Kantola","PIAB",NA,21.25,NA,NA,23.2,10.5,3.75,7.683214801,NA,13.95819984,NA,101.919986883716,73.8731590719905,77.3126317094363,"Picea abies","L.","Kantola and Mäkelä 2004","Finland","",11.0446616727766,0.035465635815916,NA,NA
"Kantola-PIAB","Kantola","PIAB",NA,26.9,NA,NA,26.7,11.1,3.15,12.0290591,NA,16.35212479,NA,89.0768360564395,63.2661414273119,57.6690382447027,"Picea abies","L.","Kantola and Mäkelä 2004","Finland","",7.79311327631118,0.0568321965016027,NA,NA
"Kantola-PIAB","Kantola","PIAB",NA,30.35,NA,NA,27.1,14.3,4.35,21.00210277,NA,26.57202715,NA,159.139138197902,113.696836692879,141.681508987001,"Picea abies","L.","Kantola and Mäkelä 2004","Finland","",14.8616967468882,0.0723447919764066,NA,NA
"Kantola-PIAB","Kantola","PIAB",NA,24.75,NA,NA,25.3,13.1,3.3,12.01720629,NA,20.71445829,NA,109.45770458819,76.9950339172612,74.6960777280777,"Picea abies","L.","Kantola and Mäkelä 2004","Finland","",8.55298599939821,0.0481105462466149,NA,NA
"Kantola-PIAB","Kantola","PIAB",NA,32.8,NA,NA,27.3,17.1,4.9,23.62497014,NA,44.85040009,NA,213.58228365729,151.818468011736,214.974472896169,"Picea abies","L.","Kantola and Mäkelä 2004","Finland","",18.8574099031727,0.0844962760109511,NA,NA
"Kantola-PIAB","Kantola","PIAB",NA,37.05,NA,NA,28.1,17,5,28.89409464,NA,47.67181841,NA,217.000849923338,154.588666043464,222.529479629277,"Picea abies","L.","Kantola and Mäkelä 2004","Finland","",19.6349540849362,0.107811802239109,NA,NA
"Kantola-PIAB","Kantola","PIAB",NA,33.55,NA,NA,27.8,18.8,5.05,47.22538734,NA,74.42575909,NA,241.147552433796,170.500082148421,251.037862164278,"Picea abies","L.","Kantola and Mäkelä 2004","Finland","",20.0296166620434,0.0884046136215576,NA,NA
"Kantola-PIAB","Kantola","PIAB",NA,27.8,NA,NA,25,17.1,5.15,23.16792182,NA,44.05389752,NA,225.154145035992,160.722504626549,237.470239791281,"Picea abies","L.","Kantola and Mäkelä 2004","Finland","",20.8307227887088,0.0606987116600084,NA,NA
"Kantola-PIAB","Kantola","PIAB",NA,29.35,NA,NA,28,17.7,5.95,24.23787847,NA,46.2977313,NA,271.301928940688,195.55392380585,328.099690060202,"Picea abies","L.","Kantola and Mäkelä 2004","Finland","",27.8050584796782,0.0676559649409239,NA,NA
