"spdataset","dataset","species","age","dbh","sapbh","sapcb","h_t","h_c","cw","m_lf","a_lf","wbr","m_st","a_cs","SAcon","Vell","sp","authorname","reference","country","remark","a_cp","a_st","a_ss_dbh","a_ss_crownbase"
"Vanninen-PISY","Vanninen","PISY",NA,8.15,NA,26.42079422,10.55,4.91,1.65,0.98862,NA,1.44815,7.97,20.8697607724546,15.0424414643321,6.99919354284087,"Pinus sylvestris","L.","Vanninen 2004","Finland","",2.13824649984955,0.0052168109508267,NA,0.002642079422
"Vanninen-PISY","Vanninen","PISY",NA,12.2,NA,67.92908715,11.75,6.1,1.5,2.50843,NA,3.91878,19.29,23.1421598959237,16.2481607883977,7.18639319508665,"Pinus sylvestris","L.","Vanninen 2004","Finland","",1.76714586764426,0.0116898662640076,NA,0.006792908715
"Vanninen-PISY","Vanninen","PISY",NA,8.3,NA,23.32828895,10.74,4.9,1.7,1.06131,NA,1.40176,7.92,21.5112080544116,15.5499453973445,7.41468226124751,"Pinus sylvestris","L.","Vanninen 2004","Finland","",2.26980069221863,0.00541060794764502,NA,0.002332828895
"Vanninen-PISY","Vanninen","PISY",NA,9.9,NA,39.03625222,10.8,5.2,1.6,1.23491,NA,1.81657,11.2,21.3007596842832,15.2334032671211,6.97014690076456,"Pinus sylvestris","L.","Vanninen 2004","Finland","",2.01061929829747,0.00769768739945839,NA,0.003903625222
"Vanninen-PISY","Vanninen","PISY",NA,19.2,NA,157.2543838,13.57,7.67,1.96,7.10485,NA,11.80251,41.99,38.089539733721,26.8232542976887,15.4278756221157,"Pinus sylvestris","L.","Vanninen 2004","Finland","",3.01718558450764,0.0289529178954835,NA,0.01572543838
"Vanninen-PISY","Vanninen","PISY",NA,16.75,NA,101.1769549,13.32,6.87,1.8,4.13327,NA,6.43521,29.96,31.3698720641918,22.1351310942988,11.6546804262874,"Pinus sylvestris","L.","Vanninen 2004","Finland","",2.54469004940773,0.0220353272218197,NA,0.01011769549
"Vanninen-PISY","Vanninen","PISY",NA,6.05,NA,7.793113276,9.96,3.76,1.4,0.17061,NA,0.19456,5.2,13.6742754426451,9.95012510065941,3.85871353664922,"Pinus sylvestris","L.","Vanninen 2004","Finland","",1.539380400259,0.00287475362757551,NA,0.0007793113276
"Vanninen-PISY","Vanninen","PISY",NA,9.25,NA,25.51758633,12.41,4.66,1.82,1.005,NA,1.117,11.72,22.12848711116,16.1754284302424,8.08215760279981,"Pinus sylvestris","L.","Vanninen 2004","Finland","",2.60155287643771,0.00672006303556942,NA,0.002551758633
"Vanninen-PISY","Vanninen","PISY",NA,13.7,NA,70.88218425,12.43,6.33,1.8,2.94835,NA,4.47376,23.33,29.0307144047406,20.6223404165011,10.7385920085006,"Pinus sylvestris","L.","Vanninen 2004","Finland","",2.54469004940773,0.0147411381288067,NA,0.007088218425
"Vanninen-PISY","Vanninen","PISY",NA,17.6,NA,118.8228881,12.76,6.43,2,4.67098,NA,6.93687,35.01,32.9474306770976,23.5848656646242,13.4669605083882,"Pinus sylvestris","L.","Vanninen 2004","Finland","",3.14159265358979,0.0243284935093994,NA,0.01188228881
"Vanninen-PISY","Vanninen","PISY",NA,13.35,NA,76.97687399,11.48,6.28,1.59,4.279,NA,5.388,22.5,25.2883529237762,17.7954597364789,8.31289920562557,"Pinus sylvestris","L.","Vanninen 2004","Finland","",1.98556509688509,0.0139975624176102,NA,0.007697687399
